Frequency,Channel A
(kHz),(dBu)

0.00000000,-40.53271000
0.03037179,-22.61029000
0.06074359,-21.79483000
0.09111538,-33.93105000
0.12148717,-30.22784000
0.15185897,-27.45897000
0.18223076,-31.83476000
0.21260256,-46.98557000
0.24297435,-39.31773000
0.27334614,-38.45599000
0.30371794,-41.13485000
0.33408973,-36.87420000
0.36446152,-38.93433000
0.39483332,-55.56462000
0.42520511,-41.44774000
0.45557691,-39.95948000
0.48594870,-44.91373000
0.51632049,-57.01556000
0.54669229,-45.49214000
0.57706408,-45.53696000
0.60743587,-47.75970000
0.63780767,-44.94633000
0.66817946,-47.70420000
0.69855126,-56.84549000
0.72892305,-50.71795000
0.75929484,-51.65526000
0.78966664,-63.50326000
0.82003843,-67.94328000
0.85041022,-63.78813000
0.88078202,-60.26045000
0.91115381,-61.46640000
0.94152561,-57.99748000
0.97189740,-58.82202000
1.00226919,-69.40164000
1.03264099,-73.62762000
1.06301278,-70.50975000
1.09338457,-68.28183000
1.12375637,-67.98367000
1.15412816,-59.12550000
1.18449996,-61.92098000
1.21487175,-70.75690000
1.24524354,-70.24342000
1.27561534,-69.96939000
1.30598713,-76.81102000
1.33635892,-82.99966000
1.36673072,-69.33168000
1.39710251,-63.58151000
1.42747431,-62.87341000
1.45784610,-59.69257000
1.48821789,-61.07323000
1.51858969,-61.22814000
1.54896148,-60.49181000
1.57933327,-67.40614000
1.60970507,-65.77672000
1.64007686,-59.51961000
1.67044866,-60.65992000
1.70082045,-67.80229000
1.73119224,-70.61003000
1.76156404,-63.91623000
1.79193583,-67.43196000
1.82230762,-67.51138000
1.85267942,-64.25838000
1.88305121,-68.91115000
1.91342301,-72.57384000
1.94379480,-66.15554000
1.97416659,-68.65550000
2.00453839,-78.57887000
2.03491018,-72.45267000
2.06528197,-69.46038000
2.09565377,-71.80415000
2.12602556,-65.04207000
2.15639736,-64.02667000
2.18676915,-73.72965000
2.21714094,-69.89714000
2.24751274,-65.38029000
2.27788453,-67.64233000
2.30825632,-77.89419000
2.33862812,-69.77411000
2.36899991,-67.49973000
2.39937171,-71.84106000
2.42974350,-79.28399000
2.46011529,-69.65134000
2.49048709,-74.13515000
2.52085888,-86.97868000
2.55123067,-75.22336000
2.58160247,-75.19817000
2.61197426,-71.19531000
2.64234606,-70.66291000
2.67271785,-74.21057000
2.70308964,-78.53187000
2.73346144,-66.54872000
2.76383323,-65.16741000
2.79420502,-70.63076000
2.82457682,-72.90538000
2.85494861,-67.60467000
2.88532041,-69.91655000
2.91569220,-78.87322000
2.94606399,-66.42821000
2.97643579,-67.09088000
3.00680758,-77.88332000
3.03717937,-71.75140000
3.06755117,-69.01882000
3.09792296,-74.70842000
3.12829476,-82.52816000
3.15866655,-73.94418000
3.18903834,-74.57720000
3.21941014,-76.69954000
3.24978193,-77.99808000
3.28015372,-74.33501000
3.31052552,-77.59695000
3.34089731,-76.41461000
3.37126911,-76.00900000
3.40164090,-85.71342000
3.43201269,-73.90942000
3.46238449,-70.55663000
3.49275628,-74.46251000
3.52312807,-83.21115000
3.55349987,-74.09503000
3.58387166,-72.98877000
3.61424346,-79.28475000
3.64461525,-76.46752000
3.67498704,-76.63303000
3.70535884,-80.08911000
3.73573063,-79.19736000
3.76610242,-76.73342000
3.79647422,-77.97478000
3.82684601,-83.41805000
3.85721781,-82.36459000
3.88758960,-75.58341000
3.91796139,-75.98483000
3.94833319,-81.14240000
3.97870498,-86.42700000
4.00907677,-85.48639000
