Frequency,Channel A
(kHz),(dBu)

0.00000000,-37.98929000
0.03037179,-22.60059000
0.06074359,-21.77619000
0.09111538,-33.47148000
0.12148717,-30.07805000
0.15185897,-27.39763000
0.18223076,-31.73624000
0.21260256,-47.58812000
0.24297435,-39.32465000
0.27334614,-38.52052000
0.30371794,-41.48234000
0.33408973,-37.08075000
0.36446152,-39.09357000
0.39483332,-56.63044000
0.42520511,-41.31811000
0.45557691,-39.94215000
0.48594870,-44.95915000
0.51632049,-57.46650000
0.54669229,-45.86586000
0.57706408,-46.06219000
0.60743587,-47.88831000
0.63780767,-44.69275000
0.66817946,-47.17867000
0.69855126,-56.98521000
0.72892305,-50.16898000
0.75929484,-51.40661000
0.78966664,-66.78242000
0.82003843,-62.25908000
0.85041022,-64.12039000
0.88078202,-60.46872000
0.91115381,-62.15536000
0.94152561,-56.62390000
0.97189740,-57.58946000
1.00226919,-73.05070000
1.03264099,-72.39526000
1.06301278,-74.30888000
1.09338457,-67.89098000
1.12375637,-67.93805000
1.15412816,-60.57180000
1.18449996,-62.18168000
1.21487175,-69.19865000
1.24524354,-68.36772000
1.27561534,-67.83306000
1.30598713,-75.89852000
1.33635892,-82.86377000
1.36673072,-70.38889000
1.39710251,-63.97213000
1.42747431,-63.48550000
1.45784610,-60.77938000
1.48821789,-61.74767000
1.51858969,-60.52820000
1.54896148,-59.72676000
1.57933327,-65.86727000
1.60970507,-69.42916000
1.64007686,-60.68135000
1.67044866,-60.71123000
1.70082045,-66.97981000
1.73119224,-69.22830000
1.76156404,-61.71886000
1.79193583,-63.49950000
1.82230762,-66.99352000
1.85267942,-65.39999000
1.88305121,-70.64867000
1.91342301,-72.15439000
1.94379480,-65.81502000
1.97416659,-66.44504000
2.00453839,-71.77370000
2.03491018,-69.88992000
2.06528197,-67.80578000
2.09565377,-72.49786000
2.12602556,-65.36867000
2.15639736,-63.73018000
2.18676915,-76.46795000
2.21714094,-69.23950000
2.24751274,-64.21639000
2.27788453,-67.95240000
2.30825632,-91.42195000
2.33862812,-68.12540000
2.36899991,-68.96516000
2.39937171,-77.31840000
2.42974350,-74.59776000
2.46011529,-68.98370000
2.49048709,-74.05307000
2.52085888,-74.97559000
2.55123067,-72.89143000
2.58160247,-75.53481000
2.61197426,-73.20859000
2.64234606,-71.82494000
2.67271785,-71.62280000
2.70308964,-80.05615000
2.73346144,-68.86356000
2.76383323,-66.32986000
2.79420502,-72.30051000
2.82457682,-73.30173000
2.85494861,-67.69136000
2.88532041,-70.65582000
2.91569220,-82.94756000
2.94606399,-67.93346000
2.97643579,-68.08688000
3.00680758,-78.43604000
3.03717937,-71.06352000
3.06755117,-68.73432000
3.09792296,-73.01642000
3.12829476,-85.56100000
3.15866655,-75.24817000
3.18903834,-76.09656000
3.21941014,-79.47699000
3.24978193,-80.06163000
3.28015372,-75.63329000
3.31052552,-80.89196000
3.34089731,-73.93475000
3.37126911,-73.50696000
3.40164090,-81.11167000
3.43201269,-77.94131000
3.46238449,-74.80096000
3.49275628,-77.83327000
3.52312807,-82.14684000
3.55349987,-73.45952000
3.58387166,-73.59843000
3.61424346,-80.48806000
3.64461525,-73.92201000
3.67498704,-75.17010000
3.70535884,-81.97603000
3.73573063,-77.78745000
3.76610242,-76.64140000
3.79647422,-78.19046000
3.82684601,-80.77203000
3.85721781,-86.49242000
3.88758960,-81.37579000
3.91796139,-76.05574000
3.94833319,-76.54080000
3.97870498,-78.63637000
4.00907677,-88.07730000
