Frequency,Channel D
(MHz),(dBu)

0.00000000,-79.19509000
0.03814697,-86.57939000
0.07629395,-101.20120000
0.11444092,-107.32960000
0.15258789,-103.70750000
0.19073486,-106.39390000
0.22888184,-109.31970000
0.26702881,-109.65460000
0.30517578,-117.23270000
0.34332275,-113.32360000
0.38146973,-113.73580000
0.41961670,-115.82480000
0.45776367,-111.27180000
0.49591064,-115.97070000
0.53405762,-104.63360000
0.57220459,-108.71490000
0.61035156,-116.97560000
0.64849854,-113.47490000
0.68664551,-111.10910000
0.72479248,-120.89840000
0.76293945,-112.13450000
0.80108643,-108.98740000
0.83923340,-119.41990000
0.87738037,-124.47460000
0.91552734,-108.92850000
0.95367432,-105.64180000
0.99182129,-105.80890000
1.02996826,-107.78940000
1.06811523,-107.07840000
1.10626221,-105.67720000
1.14440918,-101.50260000
1.18255615,-102.02410000
1.22070313,-103.00490000
1.25885010,-99.51046000
1.29699707,-102.82680000
1.33514404,-105.31290000
1.37329102,-102.47360000
1.41143799,-96.50723000
1.44958496,-121.31990000
1.48773193,-95.01716000
1.52587891,-98.58598000
1.56402588,-96.83313000
1.60217285,-98.13473000
1.64031982,-98.40740000
1.67846680,-109.00670000
1.71661377,-103.45330000
1.75476074,-115.33000000
1.79290771,-99.40665000
1.83105469,-102.73380000
1.86920166,-106.52520000
1.90734863,-100.00670000
1.94549561,-99.87776000
1.98364258,-98.42044000
2.02178955,-97.45161000
2.05993652,-103.09090000
2.09808350,-106.62580000
2.13623047,-96.46288000
2.17437744,-96.38645000
2.21252441,-97.96181000
2.25067139,-96.75752000
2.28881836,-96.59347000
2.32696533,-98.99290000
2.36511230,-102.81270000
2.40325928,-104.80100000
2.44140625,-98.80098000
2.47955322,-97.03407000
2.51770020,-97.06460000
2.55584717,-93.37248000
2.59399414,-94.74189000
2.63214111,-101.17970000
2.67028809,-96.39220000
2.70843506,-106.46500000
2.74658203,-96.31026000
2.78472900,-95.46642000
2.82287598,-97.97370000
2.86102295,-96.80351000
2.89916992,-95.35303000
2.93731689,-97.49338000
2.97546387,-94.41566000
3.01361084,-103.64450000
3.05175781,-101.17910000
3.08990479,-99.10699000
3.12805176,-100.04670000
3.16619873,-107.92200000
3.20434570,-94.06984000
3.24249268,-96.10454000
3.28063965,-95.84009000
3.31878662,-100.44850000
3.35693359,-95.96267000
3.39508057,-105.29350000
3.43322754,-102.26450000
3.47137451,-101.43200000
3.50952148,-100.78230000
3.54766846,-97.84275000
3.58581543,-93.18950000
3.62396240,-99.30489000
3.66210938,-93.70927000
3.70025635,-100.41810000
3.73840332,-99.42628000
3.77655029,-103.29050000
3.81469727,-98.94849000
3.85284424,-100.56190000
3.89099121,-94.25903000
3.92913818,-94.49441000
3.96728516,-93.79539000
4.00543213,-100.35090000
4.04357910,-94.74216000
4.08172607,-114.87490000
4.11987305,-103.60750000
4.15802002,-101.71530000
4.19616699,-98.62865000
4.23431396,-99.13725000
4.27246094,-93.77235000
4.31060791,-98.80810000
4.34875488,-93.96889000
4.38690186,-102.73930000
4.42504883,-100.14240000
4.46319580,-110.70880000
4.50134277,-97.80022000
4.53948975,-100.34170000
4.57763672,-93.53069000
4.61578369,-99.27764000
4.65393066,-93.61659000
4.69207764,-97.41306000
4.73022461,-97.57801000
4.76837158,-102.56450000
4.80651855,-99.60020000
4.84466553,-100.64500000
4.88281250,-93.64394000
4.92095947,-100.12220000
4.95910645,-92.75349000
4.99725342,-96.01745000
5.03540039,-93.61510000
5.07354736,-99.20543000
5.11169434,-100.37470000
5.14984131,-117.40820000
5.18798828,-97.76183000
5.22613525,-104.46150000
5.26428223,-92.82622000
5.30242920,-97.52596000
5.34057617,-93.54018000
5.37872314,-95.03722000
5.41687012,-95.02537000
5.45501709,-102.64960000
5.49316406,-102.56990000
5.53131104,-104.26100000
5.56945801,-92.28014000
5.60760498,-93.15540000
