Frequency,Channel D
(MHz),(dBu)

0.00000000,-76.10807000
0.03814697,-83.67746000
0.07629395,-100.20810000
0.11444092,-112.28330000
0.15258789,-111.25380000
0.19073486,-115.24150000
0.22888184,-109.59050000
0.26702881,-113.48790000
0.30517578,-117.46730000
0.34332275,-110.65640000
0.38146973,-108.40960000
0.41961670,-108.23190000
0.45776367,-106.71460000
0.49591064,-105.05570000
0.53405762,-103.47230000
0.57220459,-101.39950000
0.61035156,-102.63810000
0.64849854,-106.64070000
0.68664551,-110.85950000
0.72479248,-122.52040000
0.76293945,-114.56930000
0.80108643,-116.24460000
0.83923340,-112.95870000
0.87738037,-115.79430000
0.91552734,-111.47560000
0.95367432,-112.03240000
0.99182129,-107.54340000
1.02996826,-104.91860000
1.06811523,-104.19270000
1.10626221,-100.14640000
1.14440918,-97.60555000
1.18255615,-97.99348000
1.22070313,-97.41737000
1.25885010,-95.33125000
1.29699707,-95.63409000
1.33514404,-99.76271000
1.37329102,-100.32080000
1.41143799,-93.06674000
1.44958496,-90.69209000
1.48773193,-90.13245000
1.52587891,-90.19606000
1.56402588,-90.16544000
1.60217285,-90.60555000
1.64031982,-92.75438000
1.67846680,-96.48017000
1.71661377,-102.38750000
1.75476074,-99.26193000
1.79290771,-95.95383000
1.83105469,-94.48373000
1.86920166,-94.45229000
1.90734863,-95.82281000
1.94549561,-97.79618000
1.98364258,-100.94640000
2.02178955,-106.71680000
2.05993652,-103.73480000
2.09808350,-97.01080000
2.13623047,-92.33456000
2.17437744,-89.83498000
2.21252441,-88.76027000
2.25067139,-89.29013000
2.28881836,-90.79472000
2.32696533,-92.72073000
2.36511230,-95.97466000
2.40325928,-100.86290000
2.44140625,-97.24644000
2.47955322,-91.49247000
2.51770020,-88.90931000
2.55584717,-88.26329000
2.59399414,-88.53290000
2.63214111,-89.28183000
2.67028809,-91.11848000
2.70843506,-96.02607000
2.74658203,-104.21910000
2.78472900,-98.76415000
2.82287598,-93.19283000
2.86102295,-89.70227000
2.89916992,-87.79784000
2.93731689,-88.10081000
2.97546387,-89.56613000
3.01361084,-91.51343000
3.05175781,-95.32961000
3.08990479,-98.36990000
3.12805176,-94.56367000
3.16619873,-91.70483000
3.20434570,-89.78481000
3.24249268,-88.41814000
3.28063965,-87.92160000
3.31878662,-88.89213000
3.35693359,-92.03365000
3.39508057,-95.88417000
3.43322754,-96.22654000
3.47137451,-92.64137000
3.50952148,-89.84299000
3.54766846,-88.13583000
3.58581543,-87.55124000
3.62396240,-88.13850000
3.66210938,-89.33395000
3.70025635,-90.99176000
3.73840332,-93.75633000
3.77655029,-97.95513000
3.81469727,-95.60530000
3.85284424,-91.50937000
3.89099121,-88.62993000
3.92913818,-87.24372000
3.96728516,-87.08189000
4.00543213,-87.77027000
4.04357910,-89.65202000
4.08172607,-93.51862000
4.11987305,-97.68939000
4.15802002,-94.85664000
4.19616699,-90.85423000
4.23431396,-88.21062000
4.27246094,-87.35230000
4.31060791,-87.74856000
4.34875488,-88.63143000
4.38690186,-90.31310000
4.42504883,-93.43768000
4.46319580,-96.98911000
4.50134277,-94.29361000
4.53948975,-91.15894000
4.57763672,-89.07837000
4.61578369,-87.71294000
4.65393066,-87.40254000
4.69207764,-87.87892000
4.73022461,-88.99263000
4.76837158,-91.20157000
4.80651855,-93.47443000
4.84466553,-92.55363000
4.88281250,-89.82391000
4.92095947,-87.28828000
4.95910645,-85.99489000
4.99725342,-86.13379000
5.03540039,-87.44612000
5.07354736,-89.48242000
5.11169434,-92.88013000
5.14984131,-95.42926000
5.18798828,-92.48062000
5.22613525,-89.09203000
5.26428223,-87.11384000
5.30242920,-85.97548000
5.34057617,-86.15945000
5.37872314,-87.68022000
5.41687012,-89.70016000
5.45501709,-91.65459000
5.49316406,-91.95695000
5.53131104,-89.52295000
5.56945801,-86.70839000
5.60760498,-85.50388000
