Frequency,Channel D
(MHz),(dBu)

0.00000000,-78.75320000
0.03814697,-86.46855000
0.07629395,-105.45420000
0.11444092,-108.29370000
0.15258789,-110.86580000
0.19073486,-113.66870000
0.22888184,-113.11040000
0.26702881,-118.15780000
0.30517578,-118.65580000
0.34332275,-111.01340000
0.38146973,-106.26120000
0.41961670,-107.06990000
0.45776367,-108.45300000
0.49591064,-107.77520000
0.53405762,-104.46950000
0.57220459,-105.15430000
0.61035156,-110.76930000
0.64849854,-117.39040000
0.68664551,-114.94140000
0.72479248,-102.37980000
0.76293945,-102.74260000
0.80108643,-111.14260000
0.83923340,-111.35900000
0.87738037,-109.73390000
0.91552734,-120.00670000
0.95367432,-111.40660000
0.99182129,-102.94100000
1.02996826,-103.31850000
1.06811523,-109.66320000
1.10626221,-99.74109000
1.14440918,-104.75730000
1.18255615,-108.28690000
1.22070313,-101.90900000
1.25885010,-104.96030000
1.29699707,-103.49390000
1.33514404,-101.13720000
1.37329102,-104.60810000
1.41143799,-96.12943000
1.44958496,-96.02913000
1.48773193,-94.38132000
1.52587891,-101.12200000
1.56402588,-95.83839000
1.60217285,-101.93970000
1.64031982,-110.77740000
1.67846680,-98.18188000
1.71661377,-96.28907000
1.75476074,-105.19500000
1.79290771,-100.95880000
1.83105469,-108.00660000
1.86920166,-103.76160000
1.90734863,-103.85450000
1.94549561,-101.45930000
1.98364258,-114.66260000
2.02178955,-107.23970000
2.05993652,-103.85770000
2.09808350,-111.30140000
2.13623047,-96.80653000
2.17437744,-95.28636000
2.21252441,-99.20633000
2.25067139,-100.82210000
2.28881836,-96.80042000
2.32696533,-98.20099000
2.36511230,-105.37780000
2.40325928,-98.23061000
2.44140625,-104.73940000
2.47955322,-101.49010000
2.51770020,-97.38778000
2.55584717,-95.63158000
2.59399414,-95.60677000
2.63214111,-97.79341000
2.67028809,-102.19200000
2.70843506,-103.87530000
2.74658203,-100.71490000
2.78472900,-96.15141000
2.82287598,-97.12265000
2.86102295,-93.79469000
2.89916992,-104.31020000
2.93731689,-101.69430000
2.97546387,-97.56360000
3.01361084,-97.83169000
3.05175781,-100.21650000
3.08990479,-98.12135000
3.12805176,-115.55150000
3.16619873,-101.76700000
3.20434570,-98.76811000
3.24249268,-101.08340000
3.28063965,-96.43356000
3.31878662,-101.72740000
3.35693359,-99.09370000
3.39508057,-100.02240000
3.43322754,-101.47970000
3.47137451,-102.54160000
3.50952148,-95.49797000
3.54766846,-96.49336000
3.58581543,-94.74684000
3.62396240,-97.58099000
3.66210938,-95.69322000
3.70025635,-103.12440000
3.73840332,-98.08102000
3.77655029,-96.20300000
3.81469727,-100.07990000
3.85284424,-98.17710000
3.89099121,-95.20924000
3.92913818,-97.85098000
3.96728516,-96.16518000
4.00543213,-105.76680000
4.04357910,-94.69356000
4.08172607,-100.39530000
4.11987305,-100.65190000
4.15802002,-100.81860000
4.19616699,-94.91190000
4.23431396,-98.30186000
4.27246094,-93.45635000
4.31060791,-101.88050000
4.34875488,-95.65895000
4.38690186,-103.84060000
4.42504883,-98.84381000
4.46319580,-97.06880000
4.50134277,-100.64920000
4.53948975,-101.78980000
4.57763672,-92.37428000
4.61578369,-98.36971000
4.65393066,-94.48132000
4.69207764,-105.09470000
4.73022461,-96.93312000
4.76837158,-99.12071000
4.80651855,-100.69260000
4.84466553,-103.39510000
4.88281250,-92.32494000
4.92095947,-102.65830000
4.95910645,-92.60672000
4.99725342,-97.36050000
5.03540039,-96.97857000
5.07354736,-97.56982000
5.11169434,-94.57642000
5.14984131,-97.60230000
5.18798828,-95.68821000
5.22613525,-95.03601000
5.26428223,-89.93325000
5.30242920,-99.83965000
5.34057617,-96.65407000
5.37872314,-99.10072000
5.41687012,-94.56254000
5.45501709,-101.51820000
5.49316406,-98.07236000
5.53131104,-95.70551000
5.56945801,-90.16349000
5.60760498,-92.74435000
