Frequency,Channel A
(kHz),(dBu)

0.00000000,-27.10718000
0.03037179,-22.02178000
0.06074359,-20.45051000
0.09111538,-25.82493000
0.12148717,-29.61875000
0.15185897,-27.45406000
0.18223076,-32.17249000
0.21260256,-37.54600000
0.24297435,-36.52250000
0.27334614,-41.82001000
0.30371794,-50.31595000
0.33408973,-39.39830000
0.36446152,-37.33573000
0.39483332,-42.17620000
0.42520511,-42.76570000
0.45557691,-40.80020000
0.48594870,-46.37544000
0.51632049,-48.45224000
0.54669229,-46.47934000
0.57706408,-55.31993000
0.60743587,-58.75099000
0.63780767,-47.46013000
0.66817946,-46.59726000
0.69855126,-52.12256000
0.72892305,-55.16762000
0.75929484,-51.32277000
0.78966664,-52.89943000
0.82003843,-55.91145000
0.85041022,-61.52735000
0.88078202,-61.13412000
0.91115381,-56.53639000
0.94152561,-54.15558000
0.97189740,-56.88180000
1.00226919,-66.80287000
1.03264099,-64.53423000
1.06301278,-61.96542000
1.09338457,-61.09412000
1.12375637,-59.23287000
1.15412816,-59.13293000
1.18449996,-64.84512000
1.21487175,-65.45387000
1.24524354,-65.92847000
1.27561534,-67.45198000
1.30598713,-65.61038000
1.33635892,-66.34531000
1.36673072,-64.46092000
1.39710251,-61.96853000
1.42747431,-62.95470000
1.45784610,-63.67741000
1.48821789,-73.22329000
1.51858969,-69.51544000
1.54896148,-60.47815000
1.57933327,-63.04435000
1.60970507,-65.57711000
1.64007686,-61.33511000
1.67044866,-63.84942000
1.70082045,-64.63354000
1.73119224,-61.22799000
1.76156404,-62.97101000
1.79193583,-68.80754000
1.82230762,-67.60751000
1.85267942,-65.73808000
1.88305121,-71.51268000
1.91342301,-72.63661000
1.94379480,-67.08464000
1.97416659,-67.91428000
2.00453839,-70.27207000
2.03491018,-70.23534000
2.06528197,-71.32481000
2.09565377,-80.68423000
2.12602556,-71.81781000
2.15639736,-65.04624000
2.18676915,-65.74368000
2.21714094,-64.87943000
2.24751274,-64.64780000
2.27788453,-69.27078000
2.30825632,-70.52886000
2.33862812,-68.78863000
2.36899991,-69.83540000
2.39937171,-69.34026000
2.42974350,-69.35819000
2.46011529,-70.23251000
2.49048709,-75.17349000
2.52085888,-73.24264000
2.55123067,-71.71895000
2.58160247,-70.59584000
2.61197426,-75.66493000
2.64234606,-71.19373000
2.67271785,-74.62136000
2.70308964,-73.54695000
2.73346144,-65.66831000
2.76383323,-67.16164000
2.79420502,-72.84669000
2.82457682,-67.24918000
2.85494861,-64.94196000
2.88532041,-66.01048000
2.91569220,-66.14293000
2.94606399,-66.09198000
2.97643579,-69.83334000
3.00680758,-69.16510000
3.03717937,-66.88032000
3.06755117,-67.82545000
3.09792296,-70.30114000
3.12829476,-71.34396000
3.15866655,-70.95948000
3.18903834,-71.00669000
3.21941014,-77.63463000
3.24978193,-86.31743000
3.28015372,-74.89565000
3.31052552,-70.97836000
3.34089731,-70.58958000
3.37126911,-74.74937000
3.40164090,-77.81806000
3.43201269,-75.32405000
3.46238449,-74.94785000
3.49275628,-72.83790000
3.52312807,-69.97221000
3.55349987,-70.02853000
3.58387166,-73.04556000
3.61424346,-76.76184000
3.64461525,-81.73225000
3.67498704,-77.08148000
3.70535884,-73.37856000
3.73573063,-73.57101000
3.76610242,-74.25085000
3.79647422,-74.66862000
3.82684601,-78.04742000
3.85721781,-77.54485000
3.88758960,-78.66271000
3.91796139,-82.72948000
3.94833319,-86.42884000
3.97870498,-80.05440000
4.00907677,-76.93353000
