Time,Channel A
(ns),(mV)

-500.40000588,1.57480300
-500.20000587,1.18110200
-500.00000587,1.18110200
-499.80000587,0.78740150
-499.60000587,0.78740150
-499.40000586,0.39370070
-499.20000586,0.78740150
-499.00000586,0.39370070
-498.80000585,0.39370070
-498.60000585,0.39370070
-498.40000585,0.39370070
-498.20000585,0.78740150
-498.00000584,1.18110200
-497.80000584,1.18110200
-497.60000584,1.18110200
-497.40000584,1.57480300
-497.20000583,1.57480300
-497.00000583,1.57480300
-496.80000583,1.96850400
-496.60000583,2.36220500
-496.40000582,2.36220500
-496.20000582,2.36220500
-496.00000582,2.36220500
-495.80000581,2.36220500
-495.60000581,2.36220500
-495.40000581,1.96850400
-495.20000581,1.96850400
-495.00000580,2.36220500
-494.80000580,2.75590500
-494.60000580,2.36220500
-494.40000580,2.75590500
-494.20000579,2.36220500
-494.00000579,2.75590500
-493.80000579,2.75590500
-493.60000579,2.75590500
-493.40000578,3.14960600
-493.20000578,3.54330700
-493.00000578,3.14960600
-492.80000577,3.14960600
-492.60000577,3.14960600
-492.40000577,2.75590500
-492.20000577,3.14960600
-492.00000576,2.75590500
-491.80000576,2.75590500
-491.60000576,2.75590500
-491.40000576,1.96850400
-491.20000575,1.96850400
-491.00000575,1.96850400
-490.80000575,1.96850400
-490.60000575,1.57480300
-490.40000574,1.18110200
-490.20000574,1.18110200
-490.00000574,0.78740150
-489.80000573,0.39370070
-489.60000573,0.39370070
-489.40000573,0.39370070
-489.20000573,0.00000000
-489.00000572,-0.39370070
-488.80000572,-0.78740150
-488.60000572,-0.39370070
-488.40000572,-0.39370070
-488.20000571,-0.39370070
-488.00000571,0.00000000
-487.80000571,0.00000000
-487.60000571,0.00000000
-487.40000570,0.00000000
-487.20000570,0.39370070
-487.00000570,0.39370070
-486.80000569,0.39370070
-486.60000569,0.39370070
-486.40000569,0.39370070
-486.20000569,0.39370070
-486.00000568,0.78740150
-485.80000568,0.39370070
-485.60000568,0.78740150
-485.40000568,0.78740150
-485.20000567,0.78740150
-485.00000567,0.39370070
-484.80000567,0.39370070
-484.60000567,0.39370070
-484.40000566,0.78740150
-484.20000566,0.78740150
-484.00000566,1.18110200
-483.80000565,1.18110200
-483.60000565,0.78740150
-483.40000565,1.18110200
-483.20000565,1.18110200
-483.00000564,1.18110200
-482.80000564,0.78740150
-482.60000564,0.78740150
-482.40000564,0.78740150
-482.20000563,0.78740150
-482.00000563,1.18110200
