Time,Channel A
(ms),(mV)

0.00000000,47.24409000
0.00100480,43.30709000
0.00200960,51.18110000
0.00301440,59.05511000
0.00401920,59.05511000
0.00502400,59.05511000
0.00602880,59.05511000
0.00703360,55.11811000
0.00803840,55.11811000
0.00904320,59.05511000
0.01004800,55.11811000
0.01105280,55.11811000
0.01205760,59.05511000
0.01306240,51.18110000
0.01406720,55.11811000
0.01507200,55.11811000
0.01607680,35.43307000
0.01708160,43.30709000
0.01808640,47.24409000
0.01909120,70.86613000
0.02009600,55.11811000
0.02110080,55.11811000
0.02210560,51.18110000
0.02311040,55.11811000
0.02411520,47.24409000
0.02512000,47.24409000
0.02612480,47.24409000
0.02712960,51.18110000
0.02813440,55.11811000
0.02913920,51.18110000
0.03014400,51.18110000
0.03114880,55.11811000
0.03215360,55.11811000
0.03315840,47.24409000
0.03416320,43.30709000
0.03516800,43.30709000
0.03617280,51.18110000
0.03717760,55.11811000
0.03818240,51.18110000
0.03918720,55.11811000
0.04019200,55.11811000
0.04119680,55.11811000
0.04220160,55.11811000
0.04320640,55.11811000
0.04421120,51.18110000
0.04521600,51.18110000
0.04622080,55.11811000
0.04722560,51.18110000
0.04823040,51.18110000
0.04923520,39.37008000
0.05024000,23.62205000
0.05124480,31.49606000
0.05224960,47.24409000
0.05325440,51.18110000
0.05425920,47.24409000
0.05526400,51.18110000
0.05626880,51.18110000
0.05727360,55.11811000
0.05827840,51.18110000
0.05928320,55.11811000
0.06028800,55.11811000
0.06129280,55.11811000
0.06229760,51.18110000
0.06330240,51.18110000
0.06430720,55.11811000
0.06531200,39.37008000
0.06631680,43.30709000
0.06732160,39.37008000
0.06832640,51.18110000
0.06933120,47.24409000
0.07033600,43.30709000
0.07134080,51.18110000
0.07234560,47.24409000
0.07335040,55.11811000
0.07435520,51.18110000
0.07536000,47.24409000
0.07636480,51.18110000
0.07736960,35.43307000
0.07837440,43.30709000
0.07937920,39.37008000
0.08038400,39.37008000
0.08138880,35.43307000
0.08239360,35.43307000
0.08339840,39.37008000
