Frequency,Channel D
(MHz),(dBu)

0.00000000,-68.49097000
0.03814697,-76.09151000
0.07629395,-93.75846000
0.11444092,-102.42470000
0.15258789,-107.04700000
0.19073486,-122.44690000
0.22888184,-114.45050000
0.26702881,-111.29960000
0.30517578,-110.69350000
0.34332275,-121.08070000
0.38146973,-113.18890000
0.41961670,-115.89990000
0.45776367,-128.63120000
0.49591064,-112.64440000
0.53405762,-109.70620000
0.57220459,-105.88880000
0.61035156,-108.62180000
0.64849854,-108.37120000
0.68664551,-110.97410000
0.72479248,-109.49850000
0.76293945,-107.51950000
0.80108643,-105.85770000
0.83923340,-129.58050000
0.87738037,-112.85540000
0.91552734,-111.78070000
0.95367432,-111.01890000
0.99182129,-112.87020000
1.02996826,-110.71450000
1.06811523,-115.36750000
1.10626221,-111.54840000
1.14440918,-109.36520000
1.18255615,-103.92880000
1.22070313,-103.55620000
1.25885010,-103.61700000
1.29699707,-105.75090000
1.33514404,-100.87760000
1.37329102,-116.84080000
1.41143799,-95.82254000
1.44958496,-100.36400000
1.48773193,-94.93176000
1.52587891,-100.99740000
1.56402588,-98.00171000
1.60217285,-100.71790000
1.64031982,-99.26568000
1.67846680,-115.06250000
1.71661377,-106.63570000
1.75476074,-107.85560000
1.79290771,-99.31839000
1.83105469,-107.79460000
1.86920166,-101.18060000
1.90734863,-119.41340000
1.94549561,-112.36940000
1.98364258,-108.62480000
2.02178955,-113.77840000
2.05993652,-105.24420000
2.09808350,-98.15709000
2.13623047,-110.79660000
2.17437744,-95.53889000
2.21252441,-97.95368000
2.25067139,-98.09198000
2.28881836,-100.85110000
2.32696533,-101.79810000
2.36511230,-110.24270000
2.40325928,-99.54498000
2.44140625,-102.36140000
2.47955322,-95.89769000
2.51770020,-100.57280000
2.55584717,-98.15571000
2.59399414,-99.52405000
2.63214111,-100.41280000
2.67028809,-119.30670000
2.70843506,-110.15240000
2.74658203,-113.29600000
2.78472900,-97.18611000
2.82287598,-98.02953000
2.86102295,-95.40782000
2.89916992,-97.41912000
2.93731689,-102.62270000
2.97546387,-98.31099000
3.01361084,-95.96265000
3.05175781,-96.06360000
3.08990479,-96.63937000
3.12805176,-110.52440000
3.16619873,-95.18892000
3.20434570,-94.40637000
3.24249268,-95.98210000
3.28063965,-97.47543000
3.31878662,-99.38741000
3.35693359,-105.28130000
3.39508057,-100.51790000
3.43322754,-108.11020000
3.47137451,-96.47815000
3.50952148,-98.28531000
3.54766846,-97.47102000
3.58581543,-95.68344000
3.62396240,-98.03352000
3.66210938,-102.01970000
3.70025635,-106.12080000
3.73840332,-106.36290000
3.77655029,-97.62733000
3.81469727,-98.27880000
3.85284424,-93.73532000
3.89099121,-95.26488000
3.92913818,-96.22537000
3.96728516,-100.39220000
4.00543213,-104.79080000
4.04357910,-111.65530000
4.08172607,-102.43130000
4.11987305,-100.89970000
4.15802002,-95.17651000
4.19616699,-97.81253000
4.23431396,-97.33984000
4.27246094,-95.12386000
4.31060791,-98.89014000
4.34875488,-103.32740000
4.38690186,-109.89460000
4.42504883,-106.16930000
4.46319580,-97.37984000
4.50134277,-98.26684000
4.53948975,-95.38390000
4.57763672,-95.50443000
4.61578369,-95.65210000
4.65393066,-96.50168000
4.69207764,-106.25180000
4.73022461,-103.04510000
4.76837158,-97.06667000
4.80651855,-103.37420000
4.84466553,-93.07234000
4.88281250,-92.98610000
4.92095947,-96.59707000
4.95910645,-95.59281000
4.99725342,-96.85109000
5.03540039,-101.40500000
5.07354736,-99.74335000
5.11169434,-108.42790000
5.14984131,-96.94881000
5.18798828,-93.18645000
5.22613525,-94.24469000
5.26428223,-92.18237000
5.30242920,-94.09393000
5.34057617,-100.79460000
5.37872314,-104.79890000
5.41687012,-95.74578000
5.45501709,-92.23341000
5.49316406,-93.39791000
5.53131104,-94.72686000
5.56945801,-92.96953000
5.60760498,-94.51473000
