Frequency,Channel A
(MHz),(dBu)

0.00000000,-55.88481000
0.07629395,-59.10727000
0.15258789,-67.42815000
0.22888184,-84.61647000
0.30517578,-104.84700000
0.38146973,-102.83480000
0.45776367,-101.67400000
0.53405762,-108.37900000
0.61035156,-108.71780000
0.68664551,-102.46470000
0.76293945,-102.98880000
0.83923340,-108.67870000
0.91552734,-113.73990000
0.99182129,-108.94050000
1.06811523,-110.79290000
1.14440918,-100.66840000
1.22070313,-96.77827000
1.29699707,-98.77585000
1.37329102,-115.16150000
1.44958496,-96.60423000
1.52587891,-95.43745000
1.60217285,-103.43800000
1.67846680,-99.53946000
1.75476074,-92.05725000
1.83105469,-89.94844000
1.90734863,-92.20816000
1.98364258,-105.18250000
2.05993652,-97.15404000
2.13623047,-92.37469000
2.21252441,-93.06236000
2.28881836,-101.25380000
2.36511230,-92.61929000
2.44140625,-87.05582000
2.51770020,-86.50958000
2.59399414,-90.44396000
2.67028809,-115.41910000
2.74658203,-89.62680000
2.82287598,-86.26009000
2.89916992,-88.18539000
2.97546387,-101.05110000
3.05175781,-90.71103000
3.12805176,-84.51539000
3.20434570,-83.70215000
3.28063965,-88.29297000
3.35693359,-100.38150000
3.43322754,-85.60433000
3.50952148,-83.64716000
3.58581543,-87.43458000
3.66210938,-104.19820000
3.73840332,-86.82617000
3.81469727,-83.86826000
3.89099121,-85.52528000
3.96728516,-93.46896000
4.04357910,-94.05830000
4.11987305,-85.59387000
4.19616699,-83.79279000
4.27246094,-87.72889000
4.34875488,-92.94498000
4.42504883,-82.83530000
4.50134277,-80.71335000
4.57763672,-83.55873000
4.65393066,-92.94638000
4.73022461,-82.67033000
4.80651855,-79.94735000
4.88281250,-82.73073000
4.95910645,-95.26700000
5.03540039,-84.70625000
5.11169434,-80.94765000
5.18798828,-82.14782000
5.26428223,-89.48135000
5.34057617,-92.10000000
5.41687012,-82.42854000
5.49316406,-79.80285000
5.56945801,-81.02745000
5.64575195,-90.63786000
5.72204590,-83.74341000
5.79833984,-77.52078000
5.87463379,-77.30133000
5.95092773,-82.39325000
6.02722168,-81.31177000
6.10351563,-76.38836000
6.17980957,-76.64713000
6.25610352,-82.13913000
6.33239746,-87.82961000
6.40869141,-80.51308000
6.48498535,-78.95396000
6.56127930,-81.15248000
6.63757324,-89.82192000
6.71386719,-84.82372000
6.79016113,-78.46947000
6.86645508,-77.32288000
6.94274902,-80.83705000
7.01904297,-85.63694000
7.09533691,-78.31078000
7.17163086,-76.24442000
7.24792480,-78.46238000
7.32421875,-83.13066000
7.40051270,-77.77065000
7.47680664,-75.02942000
7.55310059,-76.27412000
7.62939453,-80.80086000
7.70568848,-79.29504000
7.78198242,-75.98931000
7.85827637,-76.79112000
7.93457031,-82.53627000
8.01086426,-81.16704000
8.08715820,-76.16597000
8.16345215,-75.33624000
8.23974609,-77.77885000
8.31604004,-82.38757000
8.39233398,-78.52191000
8.46862793,-75.08401000
8.54492188,-75.16399000
8.62121582,-78.42953000
8.69750977,-77.80643000
8.77380371,-72.88124000
8.85009766,-71.54968000
8.92639160,-74.03227000
9.00268555,-76.67462000
9.07897949,-72.57053000
9.15527344,-71.02405000
9.23156738,-73.40555000
9.30786133,-78.42775000
9.38415527,-74.61257000
9.46044922,-71.74736000
9.53674316,-71.96463000
9.61303711,-75.27917000
9.68933105,-78.67623000
9.76562500,-74.28092000
9.84191895,-72.26258000
9.91821289,-73.51503000
9.99450684,-78.16580000
10.07080078,-74.48370000
10.14709473,-69.93438000
10.22338867,-69.41808000
10.29968262,-71.57131000
10.37597656,-71.58863000
10.45227051,-68.27612000
10.52856445,-67.34335000
10.60485840,-69.72497000
10.68115234,-70.65721000
10.75744629,-68.50958000
10.83374023,-68.08772000
10.91003418,-68.84820000
10.98632813,-70.72014000
11.06262207,-69.77331000
11.13891602,-67.26610000
11.21520996,-67.11373000
