Frequency,Channel D
(MHz),(dBu)

0.00000000,-76.95754000
0.03814697,-84.27186000
0.07629395,-99.95937000
0.11444092,-111.93650000
0.15258789,-109.26570000
0.19073486,-107.40830000
0.22888184,-107.20060000
0.26702881,-106.68900000
0.30517578,-108.64670000
0.34332275,-111.34240000
0.38146973,-109.54460000
0.41961670,-111.57460000
0.45776367,-108.71760000
0.49591064,-103.41420000
0.53405762,-102.73170000
0.57220459,-110.28250000
0.61035156,-116.57780000
0.64849854,-116.52850000
0.68664551,-107.30150000
0.72479248,-108.24580000
0.76293945,-109.61520000
0.80108643,-104.39990000
0.83923340,-105.03670000
0.87738037,-107.51070000
0.91552734,-106.76300000
0.95367432,-111.03850000
0.99182129,-110.41470000
1.02996826,-104.56540000
1.06811523,-101.80720000
1.10626221,-97.74863000
1.14440918,-97.32987000
1.18255615,-99.01048000
1.22070313,-96.42281000
1.25885010,-97.23527000
1.29699707,-100.14590000
1.33514404,-113.77480000
1.37329102,-108.22400000
1.41143799,-97.79266000
1.44958496,-93.38840000
1.48773193,-90.45190000
1.52587891,-89.26895000
1.56402588,-89.58154000
1.60217285,-91.22906000
1.64031982,-95.13757000
1.67846680,-105.10890000
1.71661377,-108.37080000
1.75476074,-100.10180000
1.79290771,-97.61094000
1.83105469,-100.23200000
1.86920166,-97.72742000
1.90734863,-96.47022000
1.94549561,-98.77405000
1.98364258,-104.60960000
2.02178955,-111.32620000
2.05993652,-106.42550000
2.09808350,-97.34440000
2.13623047,-93.40018000
2.17437744,-91.79073000
2.21252441,-92.68372000
2.25067139,-96.16965000
2.28881836,-98.56723000
2.32696533,-100.51140000
2.36511230,-107.67010000
2.40325928,-100.53110000
2.44140625,-97.76889000
2.47955322,-93.09442000
2.51770020,-91.61987000
2.55584717,-91.88228000
2.59399414,-93.55473000
2.63214111,-96.69251000
2.67028809,-101.88430000
2.70843506,-117.12010000
2.74658203,-102.61330000
2.78472900,-95.89719000
2.82287598,-93.51936000
2.86102295,-91.79638000
2.89916992,-91.47153000
2.93731689,-93.11836000
2.97546387,-94.56875000
3.01361084,-101.05050000
3.05175781,-115.91380000
3.08990479,-100.83420000
3.12805176,-92.36695000
3.16619873,-90.07867000
3.20434570,-91.41819000
3.24249268,-93.40616000
3.28063965,-94.44022000
3.31878662,-98.62632000
3.35693359,-101.53600000
3.39508057,-121.32250000
3.43322754,-100.03140000
3.47137451,-93.95610000
3.50952148,-90.88654000
3.54766846,-89.76299000
3.58581543,-90.20847000
3.62396240,-93.96800000
3.66210938,-96.77728000
3.70025635,-104.08290000
3.73840332,-111.22510000
3.77655029,-97.73718000
3.81469727,-93.06914000
3.85284424,-91.26423000
3.89099121,-91.19468000
3.92913818,-92.55322000
3.96728516,-93.16617000
4.00543213,-95.40860000
4.04357910,-102.91430000
4.08172607,-107.92310000
4.11987305,-103.40860000
4.15802002,-95.40028000
4.19616699,-91.11260000
4.23431396,-90.02844000
4.27246094,-90.33279000
4.31060791,-92.27126000
4.34875488,-95.87582000
4.38690186,-106.46170000
4.42504883,-101.52720000
4.46319580,-94.81514000
4.50134277,-90.83276000
4.53948975,-89.61361000
4.57763672,-89.79623000
4.61578369,-90.52986000
4.65393066,-92.92678000
4.69207764,-99.31599000
4.73022461,-112.54700000
4.76837158,-101.99610000
4.80651855,-95.06883000
4.84466553,-92.71057000
4.88281250,-91.50427000
4.92095947,-90.70621000
4.95910645,-91.11089000
4.99725342,-93.32523000
5.03540039,-98.11465000
5.07354736,-108.38480000
5.11169434,-97.02373000
5.14984131,-93.85338000
5.18798828,-92.08525000
5.22613525,-92.15218000
5.26428223,-90.32184000
5.30242920,-90.93559000
5.34057617,-94.15962000
5.37872314,-97.57941000
5.41687012,-114.98160000
5.45501709,-98.20198000
5.49316406,-92.60660000
5.53131104,-91.36887000
5.56945801,-89.86482000
5.60760498,-89.04634000
