Frequency,Channel D
(MHz),(dBu)

0.00000000,-80.41815000
0.03814697,-87.78699000
0.07629395,-101.66910000
0.11444092,-111.81970000
0.15258789,-110.32400000
0.19073486,-111.02660000
0.22888184,-107.28960000
0.26702881,-109.51950000
0.30517578,-111.78190000
0.34332275,-108.60580000
0.38146973,-110.15560000
0.41961670,-117.58310000
0.45776367,-123.28160000
0.49591064,-120.00030000
0.53405762,-107.99980000
0.57220459,-101.77660000
0.61035156,-104.80130000
0.64849854,-111.35550000
0.68664551,-113.75560000
0.72479248,-113.98830000
0.76293945,-105.48920000
0.80108643,-105.12060000
0.83923340,-107.71130000
0.87738037,-104.92150000
0.91552734,-105.17120000
0.95367432,-108.61560000
0.99182129,-114.62960000
1.02996826,-114.21780000
1.06811523,-114.11780000
1.10626221,-110.50960000
1.14440918,-114.07080000
1.18255615,-106.13730000
1.22070313,-100.05900000
1.25885010,-106.09170000
1.29699707,-102.51650000
1.33514404,-102.17290000
1.37329102,-101.15300000
1.41143799,-97.55254000
1.44958496,-105.66060000
1.48773193,-97.17621000
1.52587891,-97.09756000
1.56402588,-94.20689000
1.60217285,-97.68472000
1.64031982,-100.35190000
1.67846680,-107.81790000
1.71661377,-102.63770000
1.75476074,-107.13020000
1.79290771,-102.73110000
1.83105469,-109.15480000
1.86920166,-101.67050000
1.90734863,-104.96570000
1.94549561,-110.38740000
1.98364258,-104.13020000
2.02178955,-103.64470000
2.05993652,-121.10630000
2.09808350,-102.75150000
2.13623047,-106.87560000
2.17437744,-103.22520000
2.21252441,-98.29637000
2.25067139,-100.40410000
2.28881836,-103.25160000
2.32696533,-101.98730000
2.36511230,-101.23370000
2.40325928,-104.48360000
2.44140625,-103.25880000
2.47955322,-100.83470000
2.51770020,-96.56966000
2.55584717,-96.73610000
2.59399414,-98.31707000
2.63214111,-101.95290000
2.67028809,-101.34140000
2.70843506,-101.18560000
2.74658203,-102.97280000
2.78472900,-104.11050000
2.82287598,-97.21390000
2.86102295,-97.49389000
2.89916992,-98.63216000
2.93731689,-101.15600000
2.97546387,-104.28410000
3.01361084,-103.55800000
3.05175781,-97.89371000
3.08990479,-101.37490000
3.12805176,-101.87110000
3.16619873,-106.54420000
3.20434570,-94.98872000
3.24249268,-97.63141000
3.28063965,-98.58473000
3.31878662,-103.03370000
3.35693359,-97.46037000
3.39508057,-111.30640000
3.43322754,-96.81519000
3.47137451,-95.94978000
3.50952148,-96.78821000
3.54766846,-103.08390000
3.58581543,-96.66790000
3.62396240,-101.49730000
3.66210938,-95.52177000
3.70025635,-100.60300000
3.73840332,-99.00073000
3.77655029,-102.35810000
3.81469727,-99.42969000
3.85284424,-107.60000000
3.89099121,-92.86037000
3.92913818,-96.69654000
3.96728516,-98.66522000
4.00543213,-103.29750000
4.04357910,-98.15292000
4.08172607,-108.56750000
4.11987305,-97.23655000
4.15802002,-99.59988000
4.19616699,-94.23908000
4.23431396,-98.82941000
4.27246094,-96.06650000
4.31060791,-101.28720000
4.34875488,-97.15620000
4.38690186,-102.24700000
4.42504883,-97.51473000
4.46319580,-104.96190000
4.50134277,-96.80473000
4.53948975,-99.27180000
4.57763672,-96.06118000
4.61578369,-108.40700000
4.65393066,-95.17165000
4.69207764,-98.59657000
4.73022461,-96.52264000
4.76837158,-102.58760000
4.80651855,-97.73746000
4.84466553,-103.11850000
4.88281250,-94.69460000
4.92095947,-100.71560000
4.95910645,-94.66069000
4.99725342,-102.46070000
5.03540039,-95.88376000
5.07354736,-100.83580000
5.11169434,-97.00939000
5.14984131,-102.37850000
5.18798828,-96.34511000
5.22613525,-99.70821000
5.26428223,-94.19958000
5.30242920,-99.73602000
5.34057617,-94.86151000
5.37872314,-96.58900000
5.41687012,-95.86299000
5.45501709,-104.03780000
5.49316406,-93.73913000
5.53131104,-94.30215000
5.56945801,-91.35970000
5.60760498,-101.60210000
