Frequency,Channel A
(kHz),(dBu)

0.00000000,-54.40832000
0.01219532,-61.78690000
0.02439065,-75.12881000
0.03658597,-83.41417000
0.04878130,-86.02276000
0.06097662,-92.84440000
0.07317194,-97.38670000
0.08536727,-104.05510000
0.09756259,-98.38556000
0.10975792,-89.13563000
0.12195324,-92.42852000
0.13414856,-94.43793000
0.14634389,-88.21701000
0.15853921,-87.42455000
0.17073454,-93.42213000
0.18292986,-101.20670000
0.19512518,-90.19471000
0.20732051,-83.90613000
0.21951583,-83.25797000
0.23171115,-84.92023000
0.24390648,-87.65508000
0.25610180,-95.76977000
0.26829713,-87.03460000
0.28049245,-84.43213000
0.29268777,-88.76644000
0.30488310,-112.99390000
0.31707842,-94.67301000
0.32927375,-102.84020000
0.34146907,-93.82825000
0.35366439,-104.33940000
0.36585972,-93.87251000
0.37805504,-89.97311000
0.39025037,-84.57201000
0.40244569,-87.26802000
0.41464101,-93.11299000
0.42683634,-88.15512000
0.43903166,-91.11118000
0.45122699,-97.68512000
0.46342231,-97.20332000
0.47561763,-106.33530000
0.48781296,-102.27650000
0.50000828,-100.92420000
0.51220361,-106.22440000
0.52439893,-104.59680000
0.53659425,-107.69030000
0.54878958,-102.84590000
0.56098490,-94.44180000
0.57318023,-92.27021000
0.58537555,-92.03827000
0.59757087,-89.96324000
0.60976620,-90.74902000
0.62196152,-111.05810000
0.63415685,-89.12106000
0.64635217,-84.87403000
0.65854749,-90.38217000
0.67074282,-93.35555000
0.68293814,-99.45479000
0.69513346,-91.24774000
0.70732879,-86.71754000
0.71952411,-86.11859000
0.73171944,-86.86888000
0.74391476,-87.19451000
0.75611008,-95.71145000
0.76830541,-90.17072000
0.78050073,-86.65472000
0.79269606,-88.63488000
0.80489138,-86.54474000
0.81708670,-88.48396000
0.82928203,-93.54081000
0.84147735,-92.41582000
0.85367268,-89.64157000
0.86586800,-84.89364000
0.87806332,-87.40869000
0.89025865,-96.77864000
0.90245397,-94.97101000
0.91464930,-97.18909000
0.92684462,-96.50357000
0.93903994,-89.37958000
0.95123527,-83.35442000
0.96343059,-83.76427000
0.97562592,-91.39468000
0.98782124,-85.43286000
1.00001656,-83.66350000
1.01221189,-88.75146000
1.02440721,-93.99979000
1.03660254,-95.60790000
1.04879786,-88.21660000
1.06099318,-92.61264000
1.07318851,-97.50169000
1.08538383,-99.36501000
1.09757915,-92.21194000
1.10977448,-90.10811000
1.12196980,-87.95486000
1.13416513,-89.37249000
1.14636045,-90.63958000
1.15855577,-86.80829000
1.17075110,-87.09735000
1.18294642,-100.67090000
1.19514175,-91.42518000
1.20733707,-91.09097000
1.21953239,-98.23853000
1.23172772,-85.44162000
1.24392304,-84.31957000
1.25611837,-89.21454000
1.26831369,-108.16760000
1.28050901,-88.16360000
1.29270434,-87.87389000
1.30489966,-89.24786000
1.31709499,-87.39484000
1.32929031,-87.42708000
1.34148563,-88.77455000
1.35368096,-92.22212000
1.36587628,-93.97778000
1.37807161,-91.35501000
1.39026693,-88.18821000
1.40246225,-92.38941000
1.41465758,-89.85056000
1.42685290,-85.92162000
1.43904823,-88.78556000
1.45124355,-91.36050000
1.46343887,-89.75528000
1.47563420,-92.69405000
1.48782952,-102.01410000
1.50002485,-97.52182000
1.51222017,-91.66557000
1.52441549,-96.06319000
1.53661082,-90.52917000
1.54880614,-84.53609000
1.56100146,-84.83752000
1.57319679,-87.00253000
1.58539211,-93.35243000
1.59758744,-90.61290000
1.60978276,-90.10286000
