Frequency,Channel A
(kHz),(dBu)

0.00000000,-54.07055000
0.01219532,-61.64605000
0.02439065,-78.20227000
0.03658597,-87.67252000
0.04878130,-89.06808000
0.06097662,-95.29794000
0.07317194,-102.16620000
0.08536727,-96.95746000
0.09756259,-87.83199000
0.10975792,-85.04820000
0.12195324,-86.36795000
0.13414856,-90.58018000
0.14634389,-91.84299000
0.15853921,-91.60915000
0.17073454,-93.12373000
0.18292986,-100.77570000
0.19512518,-96.29550000
0.20732051,-86.51900000
0.21951583,-84.83681000
0.23171115,-92.54053000
0.24390648,-89.96840000
0.25610180,-85.66049000
0.26829713,-84.60468000
0.28049245,-90.59891000
0.29268777,-90.12560000
0.30488310,-92.55547000
0.31707842,-88.94672000
0.32927375,-83.89561000
0.34146907,-84.51930000
0.35366439,-87.85134000
0.36585972,-88.67664000
0.37805504,-91.36136000
0.39025037,-98.60030000
0.40244569,-104.17740000
0.41464101,-100.31540000
0.42683634,-94.44173000
0.43903166,-104.48400000
0.45122699,-99.26469000
0.46342231,-98.11703000
0.47561763,-88.04115000
0.48781296,-84.05183000
0.50000828,-88.15721000
0.51220361,-90.15103000
0.52439893,-97.27840000
0.53659425,-101.32460000
0.54878958,-96.89931000
0.56098490,-99.57565000
0.57318023,-107.88140000
0.58537555,-93.49537000
0.59757087,-91.25113000
0.60976620,-91.35556000
0.62196152,-88.42990000
0.63415685,-86.18545000
0.64635217,-88.85933000
0.65854749,-93.17368000
0.67074282,-89.03908000
0.68293814,-95.91640000
0.69513346,-98.71928000
0.70732879,-88.33383000
0.71952411,-87.16374000
0.73171944,-87.77825000
0.74391476,-89.71336000
0.75611008,-92.93755000
0.76830541,-91.55694000
0.78050073,-88.33344000
0.79269606,-87.93590000
0.80489138,-90.41348000
0.81708670,-93.72113000
0.82928203,-88.24911000
0.84147735,-85.21423000
0.85367268,-84.95966000
0.86586800,-85.35097000
0.87806332,-86.35219000
0.89025865,-86.77322000
0.90245397,-86.16789000
0.91464930,-85.76724000
0.92684462,-88.51344000
0.93903994,-91.12965000
0.95123527,-86.80363000
0.96343059,-86.94688000
0.97562592,-90.65072000
0.98782124,-89.18471000
1.00001656,-89.49696000
1.01221189,-89.76755000
1.02440721,-89.98203000
1.03660254,-113.55830000
1.04879786,-100.87120000
1.06099318,-83.55240000
1.07318851,-82.09377000
1.08538383,-84.37798000
1.09757915,-85.68771000
1.10977448,-87.15855000
1.12196980,-89.25058000
1.13416513,-87.16765000
1.14636045,-86.14429000
1.15855577,-87.69179000
1.17075110,-94.58747000
1.18294642,-84.83069000
1.19514175,-86.21461000
1.20733707,-90.66604000
1.21953239,-95.51342000
1.23172772,-109.02400000
1.24392304,-100.18410000
1.25611837,-103.87280000
1.26831369,-95.24930000
1.28050901,-87.72289000
1.29270434,-86.12403000
1.30489966,-89.88501000
1.31709499,-99.84950000
1.32929031,-94.55216000
1.34148563,-91.47838000
1.35368096,-97.45678000
1.36587628,-100.60210000
1.37807161,-97.08672000
1.39026693,-89.38605000
1.40246225,-87.40831000
1.41465758,-94.37466000
1.42685290,-93.55244000
1.43904823,-88.91672000
1.45124355,-90.53293000
1.46343887,-95.02972000
1.47563420,-92.61865000
1.48782952,-92.86060000
1.50002485,-98.81916000
1.51222017,-92.09992000
1.52441549,-90.95111000
1.53661082,-95.95501000
1.54880614,-98.53822000
1.56100146,-86.65292000
1.57319679,-92.43462000
1.58539211,-87.20148000
1.59758744,-83.77865000
1.60978276,-86.90472000
