Frequency,Channel A
(kHz),(dBu)

0.00000000,-54.11110000
0.01219532,-61.76025000
0.02439065,-79.67468000
0.03658597,-88.83070000
0.04878130,-89.40205000
0.06097662,-87.70477000
0.07317194,-85.81710000
0.08536727,-90.14357000
0.09756259,-88.80247000
0.10975792,-86.64056000
0.12195324,-87.36699000
0.13414856,-85.83047000
0.14634389,-86.79192000
0.15853921,-92.54871000
0.17073454,-100.24460000
0.18292986,-96.61078000
0.19512518,-89.63439000
0.20732051,-88.81103000
0.21951583,-91.28490000
0.23171115,-96.16177000
0.24390648,-96.04491000
0.25610180,-105.58170000
0.26829713,-85.16572000
0.28049245,-86.00528000
0.29268777,-109.31950000
0.30488310,-97.28710000
0.31707842,-88.93700000
0.32927375,-84.00173000
0.34146907,-84.54655000
0.35366439,-86.40469000
0.36585972,-84.15704000
0.37805504,-82.42874000
0.39025037,-84.09555000
0.40244569,-86.27579000
0.41464101,-92.86444000
0.42683634,-97.51701000
0.43903166,-93.68232000
0.45122699,-101.10570000
0.46342231,-91.00681000
0.47561763,-85.00637000
0.48781296,-85.72083000
0.50000828,-86.38133000
0.51220361,-84.89664000
0.52439893,-87.04696000
0.53659425,-92.03800000
0.54878958,-93.98671000
0.56098490,-91.31409000
0.57318023,-95.38049000
0.58537555,-102.08470000
0.59757087,-100.24250000
0.60976620,-92.30729000
0.62196152,-91.38185000
0.63415685,-97.01877000
0.64635217,-102.37290000
0.65854749,-94.48081000
0.67074282,-89.64149000
0.68293814,-91.35973000
0.69513346,-99.23460000
0.70732879,-92.12129000
0.71952411,-93.89029000
0.73171944,-88.35824000
0.74391476,-87.86032000
0.75611008,-96.44875000
0.76830541,-94.75815000
0.78050073,-92.97852000
0.79269606,-87.08034000
0.80489138,-85.72171000
0.81708670,-87.42607000
0.82928203,-84.73182000
0.84147735,-85.77038000
0.85367268,-94.81149000
0.86586800,-88.71040000
0.87806332,-87.03472000
0.89025865,-89.17261000
0.90245397,-87.74506000
0.91464930,-91.96883000
0.92684462,-101.53050000
0.93903994,-92.22453000
0.95123527,-88.66589000
0.96343059,-89.41405000
0.97562592,-88.60976000
0.98782124,-89.16779000
1.00001656,-91.85677000
1.01221189,-96.12250000
1.02440721,-101.53480000
1.03660254,-99.75366000
1.04879786,-88.65492000
1.06099318,-86.26907000
1.07318851,-86.55180000
1.08538383,-89.17144000
1.09757915,-95.68691000
1.10977448,-93.17712000
1.12196980,-108.19770000
1.13416513,-90.77859000
1.14636045,-88.40115000
1.15855577,-91.94747000
1.17075110,-88.95709000
1.18294642,-85.49676000
1.19514175,-85.02919000
1.20733707,-88.14175000
1.21953239,-96.13889000
1.23172772,-84.15831000
1.24392304,-83.23802000
1.25611837,-83.75348000
1.26831369,-83.90235000
1.28050901,-88.02856000
1.29270434,-92.09084000
1.30489966,-89.72403000
1.31709499,-101.76040000
1.32929031,-93.36602000
1.34148563,-97.73292000
1.35368096,-99.53096000
1.36587628,-90.48819000
1.37807161,-88.41513000
1.39026693,-105.05700000
1.40246225,-90.83297000
1.41465758,-97.28316000
1.42685290,-97.46683000
1.43904823,-97.17464000
1.45124355,-95.72854000
1.46343887,-90.89528000
1.47563420,-87.89362000
1.48782952,-89.58151000
1.50002485,-98.14483000
1.51222017,-93.13147000
1.52441549,-86.46556000
1.53661082,-86.26713000
1.54880614,-88.28337000
1.56100146,-90.34028000
1.57319679,-97.23096000
1.58539211,-86.01432000
1.59758744,-85.62684000
1.60978276,-104.04860000
