Frequency,Channel A
(kHz),(dBu)

0.00000000,-52.17511000
0.01219532,-59.72362000
0.02439065,-75.81283000
0.03658597,-90.61958000
0.04878130,-89.62108000
0.06097662,-89.43365000
0.07317194,-87.48727000
0.08536727,-89.33610000
0.09756259,-93.00174000
0.10975792,-84.26422000
0.12195324,-86.56075000
0.13414856,-101.12350000
0.14634389,-94.80270000
0.15853921,-90.62651000
0.17073454,-89.05633000
0.18292986,-90.12875000
0.19512518,-90.75754000
0.20732051,-91.78833000
0.21951583,-96.70119000
0.23171115,-96.93294000
0.24390648,-97.26614000
0.25610180,-101.42430000
0.26829713,-95.74374000
0.28049245,-96.30858000
0.29268777,-93.93562000
0.30488310,-89.63181000
0.31707842,-92.23143000
0.32927375,-96.95383000
0.34146907,-103.29200000
0.35366439,-98.45986000
0.36585972,-101.70900000
0.37805504,-107.70120000
0.39025037,-102.59010000
0.40244569,-97.28625000
0.41464101,-94.31717000
0.42683634,-91.18385000
0.43903166,-86.90129000
0.45122699,-87.29042000
0.46342231,-92.61578000
0.47561763,-113.46020000
0.48781296,-99.71040000
0.50000828,-108.05080000
0.51220361,-92.65983000
0.52439893,-88.12683000
0.53659425,-88.73628000
0.54878958,-101.19790000
0.56098490,-85.21725000
0.57318023,-82.85407000
0.58537555,-85.74207000
0.59757087,-91.95555000
0.60976620,-100.05180000
0.62196152,-87.70435000
0.63415685,-82.77834000
0.64635217,-83.17746000
0.65854749,-87.61657000
0.67074282,-97.72562000
0.68293814,-87.65193000
0.69513346,-92.35123000
0.70732879,-90.27772000
0.71952411,-90.66540000
0.73171944,-91.73610000
0.74391476,-91.46732000
0.75611008,-84.70183000
0.76830541,-84.21254000
0.78050073,-85.78206000
0.79269606,-84.06472000
0.80489138,-85.96550000
0.81708670,-90.14723000
0.82928203,-87.74043000
0.84147735,-89.20533000
0.85367268,-88.40968000
0.86586800,-84.93132000
0.87806332,-83.92377000
0.89025865,-83.98274000
0.90245397,-83.31710000
0.91464930,-84.05698000
0.92684462,-85.61584000
0.93903994,-86.19884000
0.95123527,-88.72618000
0.96343059,-87.31528000
0.97562592,-93.75517000
0.98782124,-91.02235000
1.00001656,-94.51057000
1.01221189,-99.60582000
1.02440721,-91.73253000
1.03660254,-91.38875000
1.04879786,-93.04051000
1.06099318,-87.97098000
1.07318851,-88.41445000
1.08538383,-96.67395000
1.09757915,-94.09261000
1.10977448,-98.97563000
1.12196980,-97.09975000
1.13416513,-98.70217000
1.14636045,-93.21873000
1.15855577,-92.21608000
1.17075110,-96.07227000
1.18294642,-92.82524000
1.19514175,-89.58174000
1.20733707,-103.50730000
1.21953239,-93.11652000
1.23172772,-95.91927000
1.24392304,-102.19910000
1.25611837,-101.10950000
1.26831369,-87.84600000
1.28050901,-86.22554000
1.29270434,-90.07015000
1.30489966,-92.70893000
1.31709499,-91.50989000
1.32929031,-92.10023000
1.34148563,-92.59625000
1.35368096,-92.20265000
1.36587628,-89.43982000
1.37807161,-91.06982000
1.39026693,-95.64145000
1.40246225,-89.14781000
1.41465758,-90.78949000
1.42685290,-106.89810000
1.43904823,-101.66860000
1.45124355,-98.59852000
1.46343887,-88.93325000
1.47563420,-85.36813000
1.48782952,-89.84753000
1.50002485,-105.41670000
1.51222017,-88.72448000
1.52441549,-85.01521000
1.53661082,-88.82544000
1.54880614,-89.61232000
1.56100146,-94.11431000
1.57319679,-95.92709000
1.58539211,-90.06794000
1.59758744,-89.19582000
1.60978276,-91.44821000
