Frequency,Channel A
(kHz),(dBu)

0.00000000,-52.32020000
0.01219532,-59.78758000
0.02439065,-75.39613000
0.03658597,-92.70145000
0.04878130,-90.34416000
0.06097662,-92.94159000
0.07317194,-87.66866000
0.08536727,-88.36104000
0.09756259,-100.35470000
0.10975792,-85.48604000
0.12195324,-85.02283000
0.13414856,-91.02149000
0.14634389,-91.81784000
0.15853921,-90.03197000
0.17073454,-91.38062000
0.18292986,-91.18854000
0.19512518,-103.17890000
0.20732051,-95.87139000
0.21951583,-100.68350000
0.23171115,-96.56569000
0.24390648,-91.73965000
0.25610180,-87.03311000
0.26829713,-85.96802000
0.28049245,-86.49784000
0.29268777,-84.55631000
0.30488310,-85.47946000
0.31707842,-90.03006000
0.32927375,-92.14650000
0.34146907,-89.33786000
0.35366439,-89.89831000
0.36585972,-96.55489000
0.37805504,-100.70060000
0.39025037,-91.91946000
0.40244569,-91.11339000
0.41464101,-93.88165000
0.42683634,-94.83420000
0.43903166,-91.64099000
0.45122699,-89.76958000
0.46342231,-91.62793000
0.47561763,-98.49026000
0.48781296,-89.68633000
0.50000828,-94.25828000
0.51220361,-93.23981000
0.52439893,-89.32050000
0.53659425,-94.68001000
0.54878958,-116.08370000
0.56098490,-104.36310000
0.57318023,-97.66190000
0.58537555,-92.60316000
0.59757087,-91.13396000
0.60976620,-88.90779000
0.62196152,-89.35048000
0.63415685,-91.28712000
0.64635217,-91.46071000
0.65854749,-92.85458000
0.67074282,-89.25801000
0.68293814,-88.36682000
0.69513346,-87.96391000
0.70732879,-88.87595000
0.71952411,-94.14400000
0.73171944,-94.67026000
0.74391476,-89.72207000
0.75611008,-89.58101000
0.76830541,-89.63356000
0.78050073,-90.81271000
0.79269606,-90.01949000
0.80489138,-89.62762000
0.81708670,-89.81491000
0.82928203,-88.75735000
0.84147735,-92.25849000
0.85367268,-91.09776000
0.86586800,-94.78656000
0.87806332,-88.79350000
0.89025865,-87.05147000
0.90245397,-91.33133000
0.91464930,-86.67268000
0.92684462,-85.30267000
0.93903994,-90.95700000
0.95123527,-95.54573000
0.96343059,-100.32580000
0.97562592,-93.16506000
0.98782124,-85.86159000
1.00001656,-84.24673000
1.01221189,-86.93582000
1.02440721,-96.79584000
1.03660254,-93.20892000
1.04879786,-93.48873000
1.06099318,-94.40823000
1.07318851,-96.16294000
1.08538383,-99.50278000
1.09757915,-93.12823000
1.10977448,-88.03818000
1.12196980,-90.54053000
1.13416513,-95.28179000
1.14636045,-95.20384000
1.15855577,-103.90420000
1.17075110,-98.55132000
1.18294642,-101.91110000
1.19514175,-104.38200000
1.20733707,-96.93366000
1.21953239,-92.99336000
1.23172772,-100.09560000
1.24392304,-93.22751000
1.25611837,-87.07053000
1.26831369,-88.22857000
1.28050901,-106.21650000
1.29270434,-96.12242000
1.30489966,-92.25818000
1.31709499,-86.71574000
1.32929031,-87.14644000
1.34148563,-92.75425000
1.35368096,-90.16196000
1.36587628,-88.58039000
1.37807161,-89.73392000
1.39026693,-92.08183000
1.40246225,-92.65270000
1.41465758,-88.60403000
1.42685290,-86.35979000
1.43904823,-90.43333000
1.45124355,-101.41140000
1.46343887,-90.06407000
1.47563420,-86.05717000
1.48782952,-88.66261000
1.50002485,-88.87622000
1.51222017,-89.09814000
1.52441549,-95.96519000
1.53661082,-99.79774000
1.54880614,-98.10055000
1.56100146,-85.43639000
1.57319679,-83.80922000
1.58539211,-87.71785000
1.59758744,-99.48927000
1.60978276,-93.64632000
