Frequency,Channel D
(MHz),(dBu)

0.00000000,-85.19963000
0.03814697,-92.71182000
0.07629395,-105.92080000
0.11444092,-106.23390000
0.15258789,-102.95680000
0.19073486,-106.42790000
0.22888184,-105.57010000
0.26702881,-111.92660000
0.30517578,-115.35460000
0.34332275,-111.37810000
0.38146973,-109.27610000
0.41961670,-106.50480000
0.45776367,-102.37240000
0.49591064,-108.38680000
0.53405762,-117.88080000
0.57220459,-109.03700000
0.61035156,-110.20550000
0.64849854,-109.03510000
0.68664551,-105.81570000
0.72479248,-102.87930000
0.76293945,-108.48710000
0.80108643,-105.66670000
0.83923340,-105.32250000
0.87738037,-109.93200000
0.91552734,-111.24890000
0.95367432,-110.83240000
0.99182129,-109.94320000
1.02996826,-102.60430000
1.06811523,-101.03160000
1.10626221,-103.88850000
1.14440918,-102.54480000
1.18255615,-100.80610000
1.22070313,-104.02700000
1.25885010,-102.03370000
1.29699707,-106.93340000
1.33514404,-113.44880000
1.37329102,-115.90280000
1.41143799,-93.25920000
1.44958496,-92.29313000
1.48773193,-90.16432000
1.52587891,-94.23145000
1.56402588,-90.54229000
1.60217285,-95.28423000
1.64031982,-98.33551000
1.67846680,-100.24770000
1.71661377,-107.01160000
1.75476074,-102.67620000
1.79290771,-99.01129000
1.83105469,-101.02590000
1.86920166,-98.53310000
1.90734863,-98.11013000
1.94549561,-99.51521000
1.98364258,-104.84710000
2.02178955,-101.77950000
2.05993652,-99.10496000
2.09808350,-95.23082000
2.13623047,-98.33696000
2.17437744,-99.21111000
2.21252441,-97.05528000
2.25067139,-94.86096000
2.28881836,-100.06280000
2.32696533,-100.14790000
2.36511230,-98.75903000
2.40325928,-94.10518000
2.44140625,-92.98661000
2.47955322,-93.20792000
2.51770020,-98.63030000
2.55584717,-96.16698000
2.59399414,-102.64980000
2.63214111,-102.88290000
2.67028809,-109.33490000
2.70843506,-101.44170000
2.74658203,-98.74963000
2.78472900,-97.28661000
2.82287598,-97.55458000
2.86102295,-94.10091000
2.89916992,-96.96430000
2.93731689,-102.77470000
2.97546387,-106.60550000
3.01361084,-101.78410000
3.05175781,-100.88390000
3.08990479,-95.17834000
3.12805176,-94.68696000
3.16619873,-92.23918000
3.20434570,-94.37016000
3.24249268,-96.47701000
3.28063965,-101.13210000
3.31878662,-99.24325000
3.35693359,-95.42335000
3.39508057,-98.14701000
3.43322754,-104.91500000
3.47137451,-96.29288000
3.50952148,-92.61072000
3.54766846,-92.57885000
3.58581543,-95.06146000
3.62396240,-98.50494000
3.66210938,-116.28900000
3.70025635,-102.70260000
3.73840332,-99.26889000
3.77655029,-94.11470000
3.81469727,-100.29560000
3.85284424,-99.60090000
3.89099121,-95.49110000
3.92913818,-93.52567000
3.96728516,-96.13196000
4.00543213,-104.44650000
4.04357910,-131.13890000
4.08172607,-96.47994000
4.11987305,-97.44429000
4.15802002,-96.22166000
4.19616699,-109.33820000
4.23431396,-107.64340000
4.27246094,-96.86221000
4.31060791,-102.79970000
4.34875488,-100.15800000
4.38690186,-100.82060000
4.42504883,-96.76843000
4.46319580,-91.25538000
4.50134277,-94.20670000
4.53948975,-94.12300000
4.57763672,-97.83433000
4.61578369,-96.02509000
4.65393066,-91.71120000
4.69207764,-96.76663000
4.73022461,-98.31094000
4.76837158,-100.03260000
4.80651855,-96.49231000
4.84466553,-90.05944000
4.88281250,-90.53003000
4.92095947,-91.82544000
4.95910645,-99.32976000
4.99725342,-107.82110000
5.03540039,-100.29530000
5.07354736,-119.50480000
5.11169434,-110.81310000
5.14984131,-99.47664000
5.18798828,-98.04976000
5.22613525,-91.84747000
5.26428223,-89.58041000
5.30242920,-90.72041000
5.34057617,-98.56289000
5.37872314,-94.37988000
5.41687012,-93.43359000
5.45501709,-98.17702000
5.49316406,-96.30989000
5.53131104,-92.22174000
5.56945801,-87.08260000
5.60760498,-86.82143000
