Frequency,Channel D
(MHz),(dBu)

0.00000000,-81.89419000
0.03814697,-89.06549000
0.07629395,-103.48990000
0.11444092,-112.05450000
0.15258789,-117.42120000
0.19073486,-114.50570000
0.22888184,-102.83280000
0.26702881,-101.89610000
0.30517578,-107.36480000
0.34332275,-109.68810000
0.38146973,-107.53650000
0.41961670,-111.63040000
0.45776367,-112.65080000
0.49591064,-107.54480000
0.53405762,-104.64830000
0.57220459,-105.42200000
0.61035156,-108.57560000
0.64849854,-110.42110000
0.68664551,-108.02070000
0.72479248,-107.20360000
0.76293945,-113.06610000
0.80108643,-112.68470000
0.83923340,-107.90020000
0.87738037,-110.68030000
0.91552734,-114.95680000
0.95367432,-115.01820000
0.99182129,-114.60100000
1.02996826,-106.82400000
1.06811523,-110.56620000
1.10626221,-106.83530000
1.14440918,-99.87207000
1.18255615,-98.93887000
1.22070313,-101.70780000
1.25885010,-102.85730000
1.29699707,-110.72360000
1.33514404,-106.95070000
1.37329102,-98.57178000
1.41143799,-92.66244000
1.44958496,-104.33640000
1.48773193,-93.14435000
1.52587891,-95.20566000
1.56402588,-95.92693000
1.60217285,-99.89441000
1.64031982,-96.52679000
1.67846680,-103.22520000
1.71661377,-98.70485000
1.75476074,-100.21230000
1.79290771,-98.64410000
1.83105469,-101.38490000
1.86920166,-100.56240000
1.90734863,-105.46590000
1.94549561,-101.94080000
1.98364258,-103.01650000
2.02178955,-102.55940000
2.05993652,-103.04730000
2.09808350,-100.72150000
2.13623047,-101.26880000
2.17437744,-96.08531000
2.21252441,-97.14303000
2.25067139,-94.96476000
2.28881836,-97.62660000
2.32696533,-99.58850000
2.36511230,-116.52700000
2.40325928,-102.69710000
2.44140625,-104.70640000
2.47955322,-98.03661000
2.51770020,-97.19701000
2.55584717,-93.66945000
2.59399414,-97.91885000
2.63214111,-100.78870000
2.67028809,-99.69646000
2.70843506,-101.88160000
2.74658203,-104.88930000
2.78472900,-95.70074000
2.82287598,-96.84609000
2.86102295,-94.83900000
2.89916992,-97.38059000
2.93731689,-98.56337000
2.97546387,-98.10934000
3.01361084,-100.67180000
3.05175781,-100.25150000
3.08990479,-96.71940000
3.12805176,-98.40091000
3.16619873,-94.37535000
3.20434570,-95.76302000
3.24249268,-95.94056000
3.28063965,-96.06276000
3.31878662,-99.44807000
3.35693359,-103.33980000
3.39508057,-106.65790000
3.43322754,-103.08120000
3.47137451,-95.64754000
3.50952148,-96.56181000
3.54766846,-94.39674000
3.58581543,-94.14308000
3.62396240,-95.41080000
3.66210938,-97.29816000
3.70025635,-101.47710000
3.73840332,-106.05030000
3.77655029,-99.07097000
3.81469727,-96.94542000
3.85284424,-94.70511000
3.89099121,-95.52456000
3.92913818,-95.82391000
3.96728516,-96.10101000
4.00543213,-102.22430000
4.04357910,-99.45899000
4.08172607,-99.06494000
4.11987305,-104.37740000
4.15802002,-96.44427000
4.19616699,-96.16545000
4.23431396,-94.53403000
4.27246094,-93.16841000
4.31060791,-97.83118000
4.34875488,-99.87862000
4.38690186,-109.14170000
4.42504883,-106.53090000
4.46319580,-97.80095000
4.50134277,-95.40489000
4.53948975,-95.45388000
4.57763672,-91.67893000
4.61578369,-92.64375000
4.65393066,-96.16083000
4.69207764,-112.32700000
4.73022461,-100.71890000
4.76837158,-102.76750000
4.80651855,-97.21246000
4.84466553,-94.67106000
4.88281250,-95.27897000
4.92095947,-94.18945000
4.95910645,-93.16056000
4.99725342,-99.93720000
5.03540039,-98.67427000
5.07354736,-124.97520000
5.11169434,-99.18950000
5.14984131,-94.06447000
5.18798828,-94.64444000
5.22613525,-96.54707000
5.26428223,-91.41942000
5.30242920,-93.45814000
5.34057617,-93.55550000
5.37872314,-107.63870000
5.41687012,-97.78221000
5.45501709,-95.56570000
5.49316406,-96.62972000
5.53131104,-95.81008000
5.56945801,-91.61912000
5.60760498,-95.52489000
