Frequency,Channel D
(MHz),(dBu)

0.00000000,-94.35226000
0.03814697,-99.29379000
0.07629395,-104.88920000
0.11444092,-106.35240000
0.15258789,-107.37330000
0.19073486,-108.34950000
0.22888184,-113.54040000
0.26702881,-119.82380000
0.30517578,-112.92990000
0.34332275,-111.33520000
0.38146973,-126.61280000
0.41961670,-117.29620000
0.45776367,-111.90200000
0.49591064,-107.26920000
0.53405762,-106.07890000
0.57220459,-103.21540000
0.61035156,-108.43950000
0.64849854,-113.33480000
0.68664551,-106.48640000
0.72479248,-102.15040000
0.76293945,-103.03230000
0.80108643,-105.41180000
0.83923340,-103.27950000
0.87738037,-103.44610000
0.91552734,-105.96620000
0.95367432,-108.51460000
0.99182129,-103.97930000
1.02996826,-102.75340000
1.06811523,-103.15630000
1.10626221,-102.24370000
1.14440918,-102.15670000
1.18255615,-99.28916000
1.22070313,-97.35632000
1.25885010,-100.19890000
1.29699707,-111.61710000
1.33514404,-112.15660000
1.37329102,-100.44540000
1.41143799,-91.98498000
1.44958496,-87.98184000
1.48773193,-86.90335000
1.52587891,-88.21862000
1.56402588,-90.18616000
1.60217285,-91.68581000
1.64031982,-95.11405000
1.67846680,-106.85600000
1.71661377,-101.71150000
1.75476074,-95.12814000
1.79290771,-94.51133000
1.83105469,-95.96461000
1.86920166,-95.87518000
1.90734863,-96.93313000
1.94549561,-98.95003000
1.98364258,-99.89266000
2.02178955,-108.65390000
2.05993652,-100.96790000
2.09808350,-94.65170000
2.13623047,-92.45509000
2.17437744,-90.67734000
2.21252441,-89.38714000
2.25067139,-89.30000000
2.28881836,-90.68626000
2.32696533,-94.77695000
2.36511230,-108.01160000
2.40325928,-98.52319000
2.44140625,-91.90910000
2.47955322,-89.51302000
2.51770020,-88.25733000
2.55584717,-88.28455000
2.59399414,-90.06293000
2.63214111,-92.98222000
2.67028809,-99.51231000
2.70843506,-107.36570000
2.74658203,-95.57121000
2.78472900,-91.29287000
2.82287598,-88.87480000
2.86102295,-87.70130000
2.89916992,-87.51840000
2.93731689,-88.36404000
2.97546387,-91.01632000
3.01361084,-95.88897000
3.05175781,-103.48010000
3.08990479,-101.03480000
3.12805176,-92.43439000
3.16619873,-89.14429000
3.20434570,-88.37677000
3.24249268,-88.69562000
3.28063965,-90.30876000
3.31878662,-93.71635000
3.35693359,-98.16527000
3.39508057,-105.71980000
3.43322754,-95.64040000
3.47137451,-90.67053000
3.50952148,-88.36478000
3.54766846,-87.18659000
3.58581543,-87.04636000
3.62396240,-88.14828000
3.66210938,-91.31435000
3.70025635,-97.92281000
3.73840332,-101.32530000
3.77655029,-94.32407000
3.81469727,-89.99182000
3.85284424,-87.72338000
3.89099121,-87.32688000
3.92913818,-88.33912000
3.96728516,-89.91273000
4.00543213,-91.72431000
4.04357910,-95.18988000
4.08172607,-105.03970000
4.11987305,-93.87363000
4.15802002,-88.70670000
4.19616699,-86.97150000
4.23431396,-86.53064000
4.27246094,-86.78796000
4.31060791,-88.61488000
4.34875488,-92.43040000
4.38690186,-98.61807000
4.42504883,-98.89777000
4.46319580,-93.75198000
4.50134277,-89.65111000
4.53948975,-87.35394000
4.57763672,-86.38867000
4.61578369,-87.07661000
4.65393066,-89.53144000
4.69207764,-93.72679000
4.73022461,-98.63811000
4.76837158,-96.56921000
4.80651855,-91.54998000
4.84466553,-88.13445000
4.88281250,-86.94276000
4.92095947,-86.55711000
4.95910645,-86.96661000
4.99725342,-89.15117000
5.03540039,-93.63784000
5.07354736,-99.50899000
5.11169434,-96.04361000
5.14984131,-90.68240000
5.18798828,-87.39977000
5.22613525,-85.64117000
5.26428223,-84.55946000
5.30242920,-85.10028000
5.34057617,-87.49693000
5.37872314,-91.54608000
5.41687012,-96.88992000
5.45501709,-93.02428000
5.49316406,-88.53047000
5.53131104,-85.86121000
5.56945801,-84.32643000
5.60760498,-83.90742000
