Frequency,Channel A
(MHz),(dBu)

0.00000000,-29.83812000
0.03051758,-30.25299000
0.06103516,-35.56874000
0.09155273,-44.93078000
0.12207031,-53.08254000
0.15258789,-57.44814000
0.18310547,-62.88303000
0.21362305,-66.37524000
0.24414063,-65.81277000
0.27465820,-63.41750000
0.30517578,-60.29591000
0.33569336,-57.08180000
0.36621094,-56.15047000
0.39672852,-59.12016000
0.42724609,-66.54474000
0.45776367,-66.98232000
0.48828125,-61.92966000
0.51879883,-57.21040000
0.54931641,-54.91113000
0.57983398,-52.45981000
0.61035156,-45.99573000
0.64086914,-41.28855000
0.67138672,-39.77188000
0.70190430,-41.20460000
0.73242188,-45.28412000
0.76293945,-51.27455000
0.79345703,-57.56754000
0.82397461,-63.53447000
0.85449219,-67.62430000
0.88500977,-65.57848000
0.91552734,-63.22612000
0.94604492,-62.26985000
0.97656250,-64.30957000
1.00708008,-65.14537000
1.03759766,-62.45017000
1.06811523,-63.99044000
1.09863281,-75.02193000
1.12915039,-71.54097000
1.15966797,-69.41725000
1.19018555,-69.64376000
1.22070313,-64.92912000
1.25122070,-64.19672000
1.28173828,-69.00089000
1.31225586,-77.40409000
1.34277344,-66.97112000
1.37329102,-65.56448000
1.40380859,-68.57355000
1.43432617,-72.11458000
1.46484375,-68.70074000
1.49536133,-66.78490000
1.52587891,-68.93687000
1.55639648,-78.07124000
1.58691406,-75.29358000
1.61743164,-78.42390000
1.64794922,-70.75500000
1.67846680,-64.95734000
1.70898438,-65.99112000
1.73950195,-78.95580000
1.77001953,-70.28378000
1.80053711,-66.28522000
1.83105469,-66.16212000
1.86157227,-66.25331000
1.89208984,-68.84877000
1.92260742,-81.62411000
1.95312500,-74.47715000
1.98364258,-70.90117000
2.01416016,-74.31301000
2.04467773,-76.70008000
2.07519531,-70.95506000
2.10571289,-68.84047000
2.13623047,-69.48819000
2.16674805,-74.52919000
2.19726563,-78.23319000
2.22778320,-70.80193000
2.25830078,-70.02987000
2.28881836,-72.31864000
2.31933594,-73.75572000
2.34985352,-73.31765000
2.38037109,-69.72590000
2.41088867,-67.71066000
2.44140625,-69.55556000
2.47192383,-73.20902000
2.50244141,-70.57363000
2.53295898,-71.45982000
2.56347656,-79.38773000
2.59399414,-72.56042000
2.62451172,-70.61561000
2.65502930,-75.16398000
2.68554688,-79.37155000
2.71606445,-73.57225000
2.74658203,-71.26402000
2.77709961,-68.69252000
2.80761719,-67.72675000
2.83813477,-70.24650000
2.86865234,-75.65422000
2.89916992,-72.67768000
2.92968750,-70.59764000
2.96020508,-71.46493000
2.99072266,-75.10031000
3.02124023,-74.95841000
3.05175781,-68.47995000
3.08227539,-65.64371000
3.11279297,-65.30274000
3.14331055,-66.55028000
3.17382813,-68.95694000
3.20434570,-72.24526000
3.23486328,-74.14799000
3.26538086,-71.74363000
3.29589844,-70.78462000
3.32641602,-71.51855000
3.35693359,-69.81731000
3.38745117,-68.76705000
3.41796875,-70.88371000
3.44848633,-74.41229000
3.47900391,-71.63665000
3.50952148,-67.55523000
3.54003906,-65.80363000
3.57055664,-66.91010000
3.60107422,-72.79259000
3.63159180,-79.15762000
3.66210938,-66.20467000
3.69262695,-62.21564000
3.72314453,-61.45238000
3.75366211,-62.88267000
3.78417969,-66.27082000
3.81469727,-73.67178000
3.84521484,-76.96388000
3.87573242,-69.78259000
3.90625000,-68.23663000
3.93676758,-68.45412000
3.96728516,-68.05335000
3.99780273,-66.24007000
4.02832031,-65.43657000
4.05883789,-67.22647000
4.08935547,-70.76885000
4.11987305,-68.89346000
4.15039063,-66.28280000
4.18090820,-66.61220000
4.21142578,-70.87863000
4.24194336,-78.48161000
4.27246094,-68.38209000
4.30297852,-63.90612000
4.33349609,-62.60746000
4.36401367,-63.83213000
4.39453125,-67.55597000
4.42504883,-72.67345000
4.45556641,-72.79176000
4.48608398,-70.30624000
