Frequency,Channel A
(MHz),(dBu)

0.00000000,-43.89295000
0.03814697,-51.32199000
0.07629395,-64.57501000
0.11444092,-67.57510000
0.15258789,-64.82937000
0.19073486,-67.19191000
0.22888184,-75.74840000
0.26702881,-70.18102000
0.30517578,-67.10913000
0.34332275,-68.41669000
0.38146973,-75.40710000
0.41961670,-71.62548000
0.45776367,-80.41702000
0.49591064,-77.44324000
0.53405762,-76.94280000
0.57220459,-73.78488000
0.61035156,-78.55669000
0.64849854,-76.68277000
0.68664551,-78.29240000
0.72479248,-66.24303000
0.76293945,-65.15237000
0.80108643,-66.40737000
0.83923340,-69.27311000
0.87738037,-74.95418000
0.91552734,-80.28800000
0.95367432,-74.14268000
0.99182129,-68.29492000
1.02996826,-70.31441000
1.06811523,-71.31973000
1.10626221,-69.61514000
1.14440918,-67.34844000
1.18255615,-68.43285000
1.22070313,-79.46994000
1.25885010,-78.16182000
1.29699707,-72.50925000
1.33514404,-77.40874000
1.37329102,-67.67102000
1.41143799,-63.71887000
1.44958496,-66.51680000
1.48773193,-63.90949000
1.52587891,-62.69908000
1.56402588,-61.83245000
1.60217285,-59.92030000
1.64031982,-61.72634000
1.67846680,-71.49504000
1.71661377,-73.42652000
1.75476074,-69.14501000
1.79290771,-65.35470000
1.83105469,-68.76790000
1.86920166,-66.25472000
1.90734863,-72.62724000
1.94549561,-71.44194000
1.98364258,-68.76109000
2.02178955,-65.83518000
2.05993652,-63.69039000
2.09808350,-66.49379000
2.13623047,-67.41496000
2.17437744,-72.97741000
2.21252441,-81.78902000
2.25067139,-78.12899000
2.28881836,-78.89026000
2.32696533,-73.61847000
2.36511230,-73.09223000
2.40325928,-69.66460000
2.44140625,-70.01083000
2.47955322,-67.06582000
2.51770020,-70.18601000
2.55584717,-75.97581000
2.59399414,-70.65940000
2.63214111,-69.55498000
2.67028809,-70.07621000
2.70843506,-72.65840000
2.74658203,-77.68715000
2.78472900,-79.58852000
2.82287598,-76.91409000
2.86102295,-69.66124000
2.89916992,-71.73766000
2.93731689,-73.02206000
2.97546387,-69.58939000
3.01361084,-66.86290000
3.05175781,-68.35662000
3.08990479,-77.46671000
3.12805176,-69.84486000
3.16619873,-65.04633000
3.20434570,-69.27415000
3.24249268,-71.55453000
3.28063965,-72.07408000
3.31878662,-77.81989000
3.35693359,-77.28484000
3.39508057,-67.88483000
3.43322754,-67.16645000
3.47137451,-76.71626000
3.50952148,-72.06499000
3.54766846,-67.34662000
3.58581543,-77.33117000
3.62396240,-67.02753000
3.66210938,-69.70674000
3.70025635,-79.90025000
3.73840332,-80.96378000
3.77655029,-72.38521000
3.81469727,-76.39246000
3.85284424,-81.06468000
3.89099121,-74.03629000
3.92913818,-69.66374000
3.96728516,-71.44052000
4.00543213,-72.47662000
4.04357910,-67.41821000
4.08172607,-70.77407000
4.11987305,-73.80135000
4.15802002,-76.85854000
4.19616699,-75.69948000
4.23431396,-69.30293000
4.27246094,-69.85118000
4.31060791,-67.85840000
4.34875488,-66.62617000
4.38690186,-70.55746000
4.42504883,-85.01286000
4.46319580,-71.28820000
4.50134277,-69.91164000
4.53948975,-73.87514000
4.57763672,-75.40361000
4.61578369,-73.89890000
4.65393066,-66.48128000
4.69207764,-63.73344000
4.73022461,-63.46141000
4.76837158,-67.61787000
4.80651855,-65.27057000
4.84466553,-69.22664000
4.88281250,-70.02585000
4.92095947,-66.33338000
4.95910645,-69.30445000
4.99725342,-79.09830000
5.03540039,-72.64335000
5.07354736,-82.13128000
5.11169434,-72.79402000
5.14984131,-69.48439000
5.18798828,-67.53259000
5.22613525,-70.71094000
5.26428223,-70.71367000
5.30242920,-69.22871000
5.34057617,-75.38435000
5.37872314,-78.36986000
5.41687012,-73.61340000
5.45501709,-75.13196000
5.49316406,-78.78491000
5.53131104,-76.32904000
5.56945801,-79.03204000
5.60760498,-71.95353000
