Frequency,Channel A
(kHz),(dBu)

0.00000000,-23.87277000
0.03037179,-20.66620000
0.06074359,-19.05686000
0.09111538,-24.34163000
0.12148717,-26.34522000
0.15185897,-24.37325000
0.18223076,-28.85248000
0.21260256,-35.84977000
0.24297435,-34.88517000
0.27334614,-38.70618000
0.30371794,-47.09531000
0.33408973,-37.36693000
0.36446152,-35.96994000
0.39483332,-41.48303000
0.42520511,-40.59645000
0.45557691,-38.66172000
0.48594870,-43.39203000
0.51632049,-47.36704000
0.54669229,-45.22031000
0.57706408,-49.61401000
0.60743587,-56.15329000
0.63780767,-46.56475000
0.66817946,-45.78645000
0.69855126,-50.33141000
0.72892305,-50.70416000
0.75929484,-49.49456000
0.78966664,-50.16910000
0.82003843,-51.72348000
0.85041022,-53.23181000
0.88078202,-53.03131000
0.91115381,-55.74709000
0.94152561,-60.28247000
0.97189740,-59.13601000
1.00226919,-68.33601000
1.03264099,-62.74761000
1.06301278,-60.97187000
1.09338457,-60.61044000
1.12375637,-58.83484000
1.15412816,-57.03386000
1.18449996,-62.99888000
1.21487175,-71.38290000
1.24524354,-67.76587000
1.27561534,-69.10712000
1.30598713,-72.41986000
1.33635892,-62.67197000
1.36673072,-59.83017000
1.39710251,-60.55571000
1.42747431,-60.77066000
1.45784610,-59.70235000
1.48821789,-74.53233000
1.51858969,-68.88887000
1.54896148,-57.67033000
1.57933327,-59.80228000
1.60970507,-61.51983000
1.64007686,-57.03127000
1.67044866,-57.84521000
1.70082045,-62.82021000
1.73119224,-63.92233000
1.76156404,-63.99881000
1.79193583,-66.84904000
1.82230762,-71.19826000
1.85267942,-66.56931000
1.88305121,-67.80499000
1.91342301,-71.51271000
1.94379480,-67.98029000
1.97416659,-69.94732000
2.00453839,-79.21843000
2.03491018,-68.36122000
2.06528197,-68.97717000
2.09565377,-72.91078000
2.12602556,-64.49151000
2.15639736,-61.63549000
2.18676915,-65.80573000
2.21714094,-66.54485000
2.24751274,-63.47335000
2.27788453,-65.24644000
2.30825632,-66.09824000
2.33862812,-63.48188000
2.36899991,-63.14601000
2.39937171,-64.36004000
2.42974350,-65.49421000
2.46011529,-66.93289000
2.49048709,-71.23013000
2.52085888,-72.97730000
2.55123067,-74.98113000
2.58160247,-74.92709000
2.61197426,-103.30770000
2.64234606,-70.98004000
2.67271785,-74.81376000
2.70308964,-77.00774000
2.73346144,-72.97663000
2.76383323,-71.36185000
2.79420502,-72.85594000
2.82457682,-68.47624000
2.85494861,-64.25928000
2.88532041,-65.66398000
2.91569220,-66.17689000
2.94606399,-64.48811000
2.97643579,-68.02740000
3.00680758,-70.26292000
3.03717937,-68.76071000
3.06755117,-67.95478000
3.09792296,-69.07243000
3.12829476,-72.06225000
3.15866655,-72.14912000
3.18903834,-72.94759000
3.21941014,-78.40897000
3.24978193,-86.51172000
3.28015372,-78.63350000
3.31052552,-80.73475000
3.34089731,-70.80481000
3.37126911,-68.27531000
3.40164090,-67.76167000
3.43201269,-66.59715000
3.46238449,-67.74417000
3.49275628,-71.38125000
3.52312807,-72.54977000
3.55349987,-71.50351000
3.58387166,-70.02536000
3.61424346,-70.67834000
3.64461525,-70.82224000
3.67498704,-71.58508000
3.70535884,-71.30748000
3.73573063,-72.03180000
3.76610242,-72.77033000
3.79647422,-73.81142000
3.82684601,-82.42210000
3.85721781,-85.04906000
3.88758960,-81.83252000
3.91796139,-78.36266000
3.94833319,-75.11075000
3.97870498,-82.24585000
4.00907677,-83.07324000
