Frequency,Channel A
(kHz),(dBu)

0.00000000,-26.85583000
0.03037179,-23.36633000
0.06074359,-22.02191000
0.09111538,-30.66240000
0.12148717,-36.72861000
0.15185897,-28.39310000
0.18223076,-35.10953000
0.21260256,-41.91580000
0.24297435,-36.64773000
0.27334614,-38.96498000
0.30371794,-43.50998000
0.33408973,-37.22540000
0.36446152,-37.27283000
0.39483332,-44.65190000
0.42520511,-47.93115000
0.45557691,-42.05295000
0.48594870,-52.27959000
0.51632049,-47.79504000
0.54669229,-44.43510000
0.57706408,-46.62152000
0.60743587,-47.41405000
0.63780767,-43.55336000
0.66817946,-44.60753000
0.69855126,-52.08460000
0.72892305,-58.26515000
0.75929484,-54.60777000
0.78966664,-61.94713000
0.82003843,-72.48283000
0.85041022,-64.67068000
0.88078202,-60.74761000
0.91115381,-54.39203000
0.94152561,-52.57962000
0.97189740,-55.73876000
1.00226919,-65.96339000
1.03264099,-65.85527000
1.06301278,-69.72899000
1.09338457,-68.17783000
1.12375637,-58.99342000
1.15412816,-57.78949000
1.18449996,-66.56422000
1.21487175,-66.65655000
1.24524354,-63.41797000
1.27561534,-68.21748000
1.30598713,-75.06160000
1.33635892,-68.84679000
1.36673072,-66.75114000
1.39710251,-62.36066000
1.42747431,-60.31530000
1.45784610,-60.11904000
1.48821789,-60.55888000
1.51858969,-59.21767000
1.54896148,-58.09631000
1.57933327,-63.41177000
1.60970507,-72.24178000
1.64007686,-60.44334000
1.67044866,-64.80373000
1.70082045,-69.23328000
1.73119224,-62.43526000
1.76156404,-62.78390000
1.79193583,-71.28436000
1.82230762,-64.76125000
1.85267942,-62.98962000
1.88305121,-68.07956000
1.91342301,-70.71388000
1.94379480,-63.84410000
1.97416659,-68.48289000
2.00453839,-72.25349000
2.03491018,-64.60603000
2.06528197,-64.82933000
2.09565377,-69.81665000
2.12602556,-63.80383000
2.15639736,-62.24166000
2.18676915,-69.18407000
2.21714094,-74.18619000
2.24751274,-64.05849000
2.27788453,-70.36212000
2.30825632,-71.72541000
2.33862812,-64.54800000
2.36899991,-68.06251000
2.39937171,-72.76972000
2.42974350,-64.24552000
2.46011529,-64.61160000
2.49048709,-72.87564000
2.52085888,-73.18147000
2.55123067,-70.75688000
2.58160247,-74.03667000
2.61197426,-71.58591000
2.64234606,-70.86112000
2.67271785,-73.93284000
2.70308964,-69.05314000
2.73346144,-65.54803000
2.76383323,-68.16010000
2.79420502,-77.61161000
2.82457682,-68.38948000
2.85494861,-68.48765000
2.88532041,-79.26332000
2.91569220,-69.11324000
2.94606399,-67.59742000
2.97643579,-74.30199000
3.00680758,-69.94408000
3.03717937,-66.60375000
3.06755117,-72.57697000
3.09792296,-76.31989000
3.12829476,-73.01863000
3.15866655,-79.08173000
3.18903834,-77.50081000
3.21941014,-74.53097000
3.24978193,-76.26295000
3.28015372,-75.89888000
3.31052552,-72.28177000
3.34089731,-74.14194000
3.37126911,-84.59111000
3.40164090,-76.38464000
3.43201269,-72.02859000
3.46238449,-76.31053000
3.49275628,-81.17489000
3.52312807,-75.27480000
3.55349987,-77.43915000
3.58387166,-80.09941000
3.61424346,-72.13838000
3.64461525,-72.86604000
3.67498704,-80.96063000
3.70535884,-83.80498000
3.73573063,-77.17642000
3.76610242,-87.00311000
3.79647422,-79.56244000
3.82684601,-82.86541000
3.85721781,-87.95422000
3.88758960,-80.11206000
3.91796139,-75.93040000
3.94833319,-76.59023000
3.97870498,-80.02598000
4.00907677,-75.89964000
