Frequency,Channel A
(kHz),(dBu)

0.00000000,-24.05823000
0.03037179,-22.43772000
0.06074359,-21.22736000
0.09111538,-26.56300000
0.12148717,-27.36351000
0.15185897,-26.20430000
0.18223076,-30.32028000
0.21260256,-39.53796000
0.24297435,-37.77124000
0.27334614,-40.41325000
0.30371794,-57.62949000
0.33408973,-38.71163000
0.36446152,-38.28802000
0.39483332,-44.90162000
0.42520511,-40.79359000
0.45557691,-39.87142000
0.48594870,-44.31469000
0.51632049,-52.90120000
0.54669229,-46.43852000
0.57706408,-50.43636000
0.60743587,-59.15437000
0.63780767,-46.52184000
0.66817946,-47.33989000
0.69855126,-61.31252000
0.72892305,-54.56325000
0.75929484,-55.28486000
0.78966664,-62.60232000
0.82003843,-63.26385000
0.85041022,-60.12633000
0.88078202,-59.54101000
0.91115381,-69.21548000
0.94152561,-55.54263000
0.97189740,-56.72829000
1.00226919,-74.81107000
1.03264099,-64.46379000
1.06301278,-62.57236000
1.09338457,-65.68327000
1.12375637,-61.11138000
1.15412816,-55.78119000
1.18449996,-59.88447000
1.21487175,-67.31010000
1.24524354,-61.68955000
1.27561534,-62.64996000
1.30598713,-67.46299000
1.33635892,-67.30212000
1.36673072,-64.74775000
1.39710251,-65.25259000
1.42747431,-75.33318000
1.45784610,-64.49207000
1.48821789,-69.19678000
1.51858969,-65.72356000
1.54896148,-59.45487000
1.57933327,-63.59088000
1.60970507,-64.68060000
1.64007686,-57.80251000
1.67044866,-57.95214000
1.70082045,-63.36941000
1.73119224,-63.13714000
1.76156404,-61.60170000
1.79193583,-67.05085000
1.82230762,-75.73972000
1.85267942,-66.02658000
1.88305121,-70.58015000
1.91342301,-70.56779000
1.94379480,-63.62030000
1.97416659,-64.49203000
2.00453839,-74.75233000
2.03491018,-68.73641000
2.06528197,-66.61552000
2.09565377,-73.72287000
2.12602556,-64.50578000
2.15639736,-62.41846000
2.18676915,-66.36375000
2.21714094,-63.45585000
2.24751274,-61.27695000
2.27788453,-63.18193000
2.30825632,-70.31542000
2.33862812,-66.51329000
2.36899991,-65.14368000
2.39937171,-70.56196000
2.42974350,-67.29597000
2.46011529,-64.66189000
2.49048709,-68.83392000
2.52085888,-74.15419000
2.55123067,-72.22436000
2.58160247,-72.24239000
2.61197426,-83.47214000
2.64234606,-71.88781000
2.67271785,-70.94445000
2.70308964,-75.13667000
2.73346144,-67.00361000
2.76383323,-64.17515000
2.79420502,-68.04491000
2.82457682,-68.80412000
2.85494861,-65.05956000
2.88532041,-66.47894000
2.91569220,-71.26691000
2.94606399,-67.32497000
2.97643579,-67.78791000
3.00680758,-73.29340000
3.03717937,-68.26830000
3.06755117,-66.79327000
3.09792296,-70.64093000
3.12829476,-74.54839000
3.15866655,-73.99239000
3.18903834,-74.06999000
3.21941014,-77.33267000
3.24978193,-74.81567000
3.28015372,-71.47485000
3.31052552,-75.08184000
3.34089731,-80.27592000
3.37126911,-72.82233000
3.40164090,-75.83631000
3.43201269,-74.55077000
3.46238449,-70.59769000
3.49275628,-73.81059000
3.52312807,-79.45074000
3.55349987,-71.76474000
3.58387166,-72.28354000
3.61424346,-80.40641000
3.64461525,-77.89390000
3.67498704,-75.45517000
3.70535884,-77.35229000
3.73573063,-75.64890000
3.76610242,-74.56293000
3.79647422,-75.60924000
3.82684601,-78.46729000
3.85721781,-80.55931000
3.88758960,-79.12559000
3.91796139,-85.96534000
3.94833319,-76.26879000
3.97870498,-78.35048000
4.00907677,-85.51138000
