Frequency,Channel A
(kHz),(dBu)

0.00000000,-27.10321000
0.03037179,-23.38723000
0.06074359,-22.39147000
0.09111538,-32.28118000
0.12148717,-34.69115000
0.15185897,-28.51475000
0.18223076,-34.45359000
0.21260256,-41.94941000
0.24297435,-37.62641000
0.27334614,-38.43880000
0.30371794,-41.14553000
0.33408973,-37.20250000
0.36446152,-38.12539000
0.39483332,-45.42776000
0.42520511,-46.07757000
0.45557691,-42.01895000
0.48594870,-48.98653000
0.51632049,-48.73521000
0.54669229,-45.10883000
0.57706408,-45.99706000
0.60743587,-46.60603000
0.63780767,-44.02181000
0.66817946,-45.65945000
0.69855126,-52.41863000
0.72892305,-55.43677000
0.75929484,-54.52880000
0.78966664,-62.20765000
0.82003843,-77.48568000
0.85041022,-63.65971000
0.88078202,-60.38717000
0.91115381,-56.41308000
0.94152561,-53.99995000
0.97189740,-57.13764000
1.00226919,-67.76792000
1.03264099,-65.79428000
1.06301278,-65.95612000
1.09338457,-64.60030000
1.12375637,-59.80866000
1.15412816,-58.13000000
1.18449996,-64.45685000
1.21487175,-65.94757000
1.24524354,-63.73889000
1.27561534,-69.93846000
1.30598713,-84.40495000
1.33635892,-71.62773000
1.36673072,-73.56836000
1.39710251,-63.56557000
1.42747431,-60.37951000
1.45784610,-60.27736000
1.48821789,-59.88564000
1.51858969,-58.20869000
1.54896148,-58.12399000
1.57933327,-64.88217000
1.60970507,-69.13095000
1.64007686,-60.03780000
1.67044866,-62.36956000
1.70082045,-67.29568000
1.73119224,-63.83220000
1.76156404,-62.90842000
1.79193583,-67.81024000
1.82230762,-64.61967000
1.85267942,-64.18971000
1.88305121,-70.95629000
1.91342301,-70.99114000
1.94379480,-64.45779000
1.97416659,-67.73436000
2.00453839,-71.25340000
2.03491018,-64.96442000
2.06528197,-65.19462000
2.09565377,-68.19548000
2.12602556,-62.89388000
2.15639736,-61.79456000
2.18676915,-69.68827000
2.21714094,-71.67982000
2.24751274,-63.60958000
2.27788453,-70.74405000
2.30825632,-76.92967000
2.33862812,-67.07439000
2.36899991,-69.07317000
2.39937171,-80.75291000
2.42974350,-68.38881000
2.46011529,-65.86093000
2.49048709,-75.04838000
2.52085888,-75.67447000
2.55123067,-70.57322000
2.58160247,-76.81657000
2.61197426,-73.11674000
2.64234606,-69.62535000
2.67271785,-70.78634000
2.70308964,-70.66066000
2.73346144,-65.98714000
2.76383323,-66.76511000
2.79420502,-70.24539000
2.82457682,-68.04318000
2.85494861,-68.43814000
2.88532041,-75.55615000
2.91569220,-69.61829000
2.94606399,-68.13104000
2.97643579,-73.23800000
3.00680758,-72.91978000
3.03717937,-69.37873000
3.06755117,-71.78931000
3.09792296,-88.35880000
3.12829476,-81.92537000
3.15866655,-78.87534000
3.18903834,-86.89332000
3.21941014,-76.57887000
3.24978193,-76.19783000
3.28015372,-77.35445000
3.31052552,-74.51685000
3.34089731,-73.19934000
3.37126911,-79.72144000
3.40164090,-78.39940000
3.43201269,-74.01443000
3.46238449,-74.51123000
3.49275628,-75.11038000
3.52312807,-72.63545000
3.55349987,-74.09275000
3.58387166,-87.33727000
3.61424346,-77.04736000
3.64461525,-73.12827000
3.67498704,-81.15765000
3.70535884,-83.62877000
3.73573063,-79.64490000
3.76610242,-82.46144000
3.79647422,-81.72680000
3.82684601,-83.73470000
3.85721781,-86.16935000
3.88758960,-81.04659000
3.91796139,-74.04513000
3.94833319,-73.97639000
3.97870498,-78.64684000
4.00907677,-79.68678000
