Frequency,Channel A
(kHz),(dBu)

0.00000000,-25.37842000
0.03037179,-22.47712000
0.06074359,-20.88395000
0.09111538,-25.45062000
0.12148717,-28.05641000
0.15185897,-26.83786000
0.18223076,-31.00982000
0.21260256,-36.74533000
0.24297435,-36.92672000
0.27334614,-42.00294000
0.30371794,-51.57486000
0.33408973,-39.45176000
0.36446152,-37.36318000
0.39483332,-41.51476000
0.42520511,-41.68077000
0.45557691,-40.52396000
0.48594870,-44.88318000
0.51632049,-47.95105000
0.54669229,-46.56900000
0.57706408,-55.20570000
0.60743587,-63.94766000
0.63780767,-46.96912000
0.66817946,-46.41301000
0.69855126,-54.14627000
0.72892305,-55.71981000
0.75929484,-54.03237000
0.78966664,-58.83664000
0.82003843,-62.71194000
0.85041022,-62.47027000
0.88078202,-64.26622000
0.91115381,-62.38950000
0.94152561,-56.86030000
0.97189740,-58.97443000
1.00226919,-73.13204000
1.03264099,-70.29076000
1.06301278,-74.03695000
1.09338457,-67.01725000
1.12375637,-58.64069000
1.15412816,-55.69986000
1.18449996,-60.85628000
1.21487175,-64.46703000
1.24524354,-61.10275000
1.27561534,-63.04427000
1.30598713,-68.72971000
1.33635892,-67.73911000
1.36673072,-64.83436000
1.39710251,-65.20461000
1.42747431,-65.92880000
1.45784610,-64.65905000
1.48821789,-83.13789000
1.51858969,-73.10061000
1.54896148,-59.50294000
1.57933327,-60.57083000
1.60970507,-61.86127000
1.64007686,-58.19302000
1.67044866,-58.68919000
1.70082045,-60.98900000
1.73119224,-59.85212000
1.76156404,-60.81730000
1.79193583,-68.19840000
1.82230762,-72.39060000
1.85267942,-66.87105000
1.88305121,-70.73354000
1.91342301,-70.03581000
1.94379480,-64.81257000
1.97416659,-66.21139000
2.00453839,-69.78063000
2.03491018,-65.91986000
2.06528197,-66.41861000
2.09565377,-73.28378000
2.12602556,-66.03413000
2.15639736,-62.33454000
2.18676915,-65.06923000
2.21714094,-65.40002000
2.24751274,-63.76474000
2.27788453,-66.00728000
2.30825632,-67.32742000
2.33862812,-64.92419000
2.36899991,-65.23708000
2.39937171,-66.99694000
2.42974350,-64.78497000
2.46011529,-65.12569000
2.49048709,-70.53732000
2.52085888,-71.95171000
2.55123067,-72.37950000
2.58160247,-73.88626000
2.61197426,-75.72484000
2.64234606,-71.41946000
2.67271785,-77.13714000
2.70308964,-76.31304000
2.73346144,-67.72162000
2.76383323,-66.20889000
2.79420502,-68.22875000
2.82457682,-66.64808000
2.85494861,-65.81593000
2.88532041,-67.52348000
2.91569220,-67.57767000
2.94606399,-65.69799000
2.97643579,-68.47285000
3.00680758,-70.00490000
3.03717937,-67.69135000
3.06755117,-68.29678000
3.09792296,-71.22069000
3.12829476,-73.99951000
3.15866655,-75.17672000
3.18903834,-75.50314000
3.21941014,-79.06113000
3.24978193,-79.24929000
3.28015372,-82.56058000
3.31052552,-80.25367000
3.34089731,-72.67315000
3.37126911,-71.16426000
3.40164090,-73.89682000
3.43201269,-73.08321000
3.46238449,-72.27664000
3.49275628,-73.60848000
3.52312807,-71.27860000
3.55349987,-68.75303000
3.58387166,-69.88965000
3.61424346,-71.68956000
3.64461525,-71.54175000
3.67498704,-74.52885000
3.70535884,-80.22996000
3.73573063,-78.64731000
3.76610242,-75.63744000
3.79647422,-75.28747000
3.82684601,-78.10519000
3.85721781,-79.87997000
3.88758960,-79.85526000
3.91796139,-78.84241000
3.94833319,-76.25671000
3.97870498,-76.87171000
4.00907677,-75.43257000
