Frequency,Channel A
(kHz),(dBu)

0.00000000,-22.96659000
0.03037179,-20.52938000
0.06074359,-18.80746000
0.09111538,-23.91442000
0.12148717,-25.91526000
0.15185897,-24.53585000
0.18223076,-28.73947000
0.21260256,-36.86520000
0.24297435,-35.78117000
0.27334614,-38.96706000
0.30371794,-57.52626000
0.33408973,-37.69997000
0.36446152,-36.49227000
0.39483332,-41.80490000
0.42520511,-38.94361000
0.45557691,-37.59683000
0.48594870,-42.27892000
0.51632049,-48.55503000
0.54669229,-44.50976000
0.57706408,-49.24384000
0.60743587,-62.22998000
0.63780767,-44.52125000
0.66817946,-44.59283000
0.69855126,-53.23968000
0.72892305,-50.75537000
0.75929484,-49.69960000
0.78966664,-55.33936000
0.82003843,-70.39214000
0.85041022,-71.00326000
0.88078202,-63.95585000
0.91115381,-93.99684000
0.94152561,-53.43682000
0.97189740,-54.03688000
1.00226919,-68.16774000
1.03264099,-62.32861000
1.06301278,-63.46135000
1.09338457,-71.10652000
1.12375637,-62.05374000
1.15412816,-56.93033000
1.18449996,-62.04903000
1.21487175,-68.48379000
1.24524354,-60.81460000
1.27561534,-62.91545000
1.30598713,-75.62182000
1.33635892,-80.54137000
1.36673072,-68.66391000
1.39710251,-67.66014000
1.42747431,-66.02029000
1.45784610,-60.97064000
1.48821789,-83.80718000
1.51858969,-65.61850000
1.54896148,-58.37458000
1.57933327,-60.99575000
1.60970507,-62.42289000
1.64007686,-57.44636000
1.67044866,-57.67590000
1.70082045,-62.18856000
1.73119224,-62.79679000
1.76156404,-62.01788000
1.79193583,-68.48808000
1.82230762,-77.67577000
1.85267942,-66.81441000
1.88305121,-72.65523000
1.91342301,-68.13621000
1.94379480,-61.98069000
1.97416659,-64.77809000
2.00453839,-73.03264000
2.03491018,-63.33900000
2.06528197,-63.10773000
2.09565377,-71.39960000
2.12602556,-64.06224000
2.15639736,-60.07106000
2.18676915,-62.99623000
2.21714094,-63.62342000
2.24751274,-61.15179000
2.27788453,-62.11327000
2.30825632,-64.00172000
2.33862812,-63.34131000
2.36899991,-63.23864000
2.39937171,-65.82175000
2.42974350,-66.06360000
2.46011529,-63.80319000
2.49048709,-66.55430000
2.52085888,-71.78633000
2.55123067,-75.35142000
2.58160247,-71.61600000
2.61197426,-76.74110000
2.64234606,-69.56110000
2.67271785,-66.72155000
2.70308964,-67.55721000
2.73346144,-64.19569000
2.76383323,-62.68184000
2.79420502,-66.90088000
2.82457682,-69.19057000
2.85494861,-65.98121000
2.88532041,-67.71928000
2.91569220,-74.59056000
2.94606399,-66.86768000
2.97643579,-66.12289000
3.00680758,-69.80585000
3.03717937,-67.94173000
3.06755117,-67.00911000
3.09792296,-71.50354000
3.12829476,-77.40237000
3.15866655,-75.12916000
3.18903834,-73.15504000
3.21941014,-73.15948000
3.24978193,-67.25242000
3.28015372,-69.65289000
3.31052552,-76.91068000
3.34089731,-71.05783000
3.37126911,-69.91610000
3.40164090,-74.54837000
3.43201269,-69.02383000
3.46238449,-66.52606000
3.49275628,-69.96346000
3.52312807,-70.92345000
3.55349987,-69.21336000
3.58387166,-71.75855000
3.61424346,-75.34440000
3.64461525,-72.45318000
3.67498704,-72.18832000
3.70535884,-75.26051000
3.73573063,-78.43610000
3.76610242,-75.81188000
3.79647422,-74.95921000
3.82684601,-80.48004000
3.85721781,-85.51431000
3.88758960,-77.17529000
3.91796139,-79.51218000
3.94833319,-78.22544000
3.97870498,-73.16619000
4.00907677,-75.58478000
